a,o,h,l,c,v,t
248.46,248.0,251.0,246.0,251.0,282,2022-07-25 09:01:00
249.34,250.5,252.0,248.5,250.5,210,2022-07-25 09:02:00
250.36,251.0,255.0,250.5,254.5,197,2022-07-25 09:03:00
251.52,255.0,256.5,254.0,256.5,221,2022-07-25 09:04:00
251.99,258.0,258.0,258.0,258.0,70,2022-07-25 09:06:00
253.44,258.0,261.0,258.0,260.0,223,2022-07-25 09:07:00
253.84,260.0,260.5,258.5,258.5,89,2022-07-25 09:08:00
254.04,258.0,258.5,257.0,257.5,71,2022-07-25 09:09:00
254.23,257.0,258.5,256.5,257.5,79,2022-07-25 09:10:00
254.3,258.0,259.0,256.5,256.5,33,2022-07-25 09:11:00
254.29,256.5,256.5,252.0,254.0,97,2022-07-25 09:12:00
254.24,253.5,254.0,252.5,253.5,61,2022-07-25 09:13:00
254.22,253.5,254.5,253.0,254.5,44,2022-07-25 09:14:00
254.22,255.0,255.5,253.0,253.0,55,2022-07-25 09:15:00
254.17,252.5,253.0,252.0,253.0,45,2022-07-25 09:16:00
254.16,253.0,254.0,252.5,254.0,21,2022-07-25 09:17:00
254.16,254.0,254.0,253.5,253.5,14,2022-07-25 09:18:00
254.12,253.5,253.5,252.0,253.0,37,2022-07-25 09:19:00
254.12,253.0,253.5,253.0,253.0,6,2022-07-25 09:20:00
253.95,253.5,253.5,249.0,249.0,99,2022-07-25 09:21:00
253.86,249.0,249.0,248.5,248.5,33,2022-07-25 09:22:00
253.84,249.0,249.5,249.0,249.5,9,2022-07-25 09:23:00
253.77,250.0,251.0,250.0,251.0,42,2022-07-25 09:24:00
253.71,250.0,251.0,249.0,249.0,34,2022-07-25 09:25:00
253.68,249.5,250.0,248.5,249.0,13,2022-07-25 09:26:00
253.63,249.0,251.5,249.0,251.5,31,2022-07-25 09:27:00
253.6,251.5,253.0,250.0,253.0,34,2022-07-25 09:28:00
253.64,253.0,256.0,253.0,255.5,80,2022-07-25 09:29:00
253.7,256.0,256.0,254.5,255.0,83,2022-07-25 09:30:00
253.72,255.0,255.0,254.5,255.0,28,2022-07-25 09:31:00
253.72,254.5,254.5,254.0,254.0,20,2022-07-25 09:32:00
