a,o,h,l,c,v,t
40.35,40.2,40.6,40.2,40.55,99,2022-07-25 09:01:00
40.43,40.6,40.7,40.45,40.45,66,2022-07-25 09:02:00
40.49,40.55,40.7,40.5,40.7,92,2022-07-25 09:03:00
40.55,40.7,40.85,40.65,40.85,83,2022-07-25 09:04:00
40.58,40.85,40.9,40.8,40.9,31,2022-07-25 09:05:00
40.64,40.9,41.0,40.85,41.0,75,2022-07-25 09:06:00
40.8,40.95,41.3,40.95,41.2,238,2022-07-25 09:07:00
40.83,41.2,41.25,41.05,41.05,73,2022-07-25 09:08:00
40.84,41.05,41.1,40.9,41.0,43,2022-07-25 09:09:00
40.85,41.0,41.0,40.8,40.85,50,2022-07-25 09:10:00
40.84,40.8,40.85,40.65,40.7,71,2022-07-25 09:11:00
40.83,40.7,40.7,40.6,40.65,16,2022-07-25 09:12:00
40.82,40.65,40.65,40.5,40.5,46,2022-07-25 09:13:00
40.82,40.55,40.6,40.5,40.55,25,2022-07-25 09:14:00
40.8,40.55,40.55,40.45,40.45,68,2022-07-25 09:15:00
40.77,40.45,40.5,40.3,40.3,73,2022-07-25 09:16:00
40.77,40.3,40.4,40.3,40.4,14,2022-07-25 09:17:00
40.71,40.4,40.4,40.2,40.2,141,2022-07-25 09:18:00
40.7,40.2,40.25,40.15,40.25,29,2022-07-25 09:19:00
40.69,40.25,40.3,40.2,40.2,37,2022-07-25 09:20:00
40.68,40.25,40.45,40.25,40.3,38,2022-07-25 09:21:00
40.64,40.35,40.35,40.05,40.05,108,2022-07-25 09:22:00
40.63,40.05,40.05,40.0,40.05,28,2022-07-25 09:23:00
40.63,40.05,40.2,40.05,40.2,20,2022-07-25 09:24:00
40.63,40.2,40.25,40.2,40.25,6,2022-07-25 09:25:00
40.62,40.25,40.25,40.2,40.25,5,2022-07-25 09:26:00
40.62,40.3,40.3,40.3,40.3,13,2022-07-25 09:27:00
40.62,40.35,40.35,40.3,40.3,6,2022-07-25 09:28:00
40.61,40.35,40.45,40.35,40.45,48,2022-07-25 09:29:00
40.61,40.45,40.45,40.45,40.45,18,2022-07-25 09:30:00
40.61,40.4,40.4,40.35,40.35,19,2022-07-25 09:31:00
40.61,40.4,40.4,40.4,40.4,10,2022-07-25 09:32:00
40.61,40.4,40.4,40.4,40.4,2,2022-07-25 09:33:00
40.61,40.4,40.4,40.4,40.4,10,2022-07-25 09:34:00
40.61,40.4,40.4,40.4,40.4,9,2022-07-25 09:35:00
40.61,40.4,40.4,40.4,40.4,5,2022-07-25 09:36:00
40.6,40.4,40.4,40.4,40.4,1,2022-07-25 09:37:00
40.6,40.4,40.4,40.35,40.35,11,2022-07-25 09:38:00
40.6,40.35,40.4,40.35,40.35,12,2022-07-25 09:39:00
40.6,40.4,40.4,40.35,40.35,9,2022-07-25 09:40:00
40.6,40.35,40.4,40.35,40.4,2,2022-07-25 09:41:00
40.6,40.4,40.4,40.4,40.4,4,2022-07-25 09:42:00
40.6,40.4,40.5,40.4,40.5,20,2022-07-25 09:43:00
40.59,40.5,40.55,40.5,40.55,69,2022-07-25 09:44:00
40.59,40.6,40.65,40.6,40.6,60,2022-07-25 09:45:00
40.6,40.65,40.65,40.6,40.6,15,2022-07-25 09:46:00
40.6,40.55,40.55,40.55,40.55,3,2022-07-25 09:47:00
40.6,40.55,40.55,40.55,40.55,1,2022-07-25 09:49:00
40.59,40.5,40.55,40.5,40.55,21,2022-07-25 09:50:00
40.59,40.55,40.6,40.55,40.6,15,2022-07-25 09:51:00
40.59,40.65,40.65,40.6,40.6,9,2022-07-25 09:52:00
40.6,40.7,40.75,40.65,40.7,49,2022-07-25 09:53:00
40.6,40.75,40.75,40.75,40.75,3,2022-07-25 09:54:00
40.6,40.7,40.7,40.7,40.7,3,2022-07-25 09:55:00
40.6,40.7,40.7,40.7,40.7,12,2022-07-25 09:56:00
40.6,40.7,40.7,40.7,40.7,7,2022-07-25 09:57:00
40.6,40.75,40.75,40.7,40.7,3,2022-07-25 09:58:00
40.6,40.7,40.7,40.7,40.7,7,2022-07-25 09:59:00
40.6,40.7,40.7,40.7,40.7,6,2022-07-25 10:00:00
