a,o,h,l,c,v,t
17.39,17.4,17.4,17.35,17.35,80,2022-07-25 09:01:00
17.39,17.35,17.4,17.35,17.4,14,2022-07-25 09:02:00
17.39,17.4,17.4,17.4,17.4,2,2022-07-25 09:03:00
17.39,17.4,17.4,17.35,17.4,4,2022-07-25 09:04:00
17.39,17.35,17.4,17.35,17.35,15,2022-07-25 09:05:00
17.39,17.4,17.4,17.35,17.35,6,2022-07-25 09:06:00
17.39,17.4,17.4,17.4,17.4,11,2022-07-25 09:07:00
17.39,17.4,17.4,17.4,17.4,1,2022-07-25 09:09:00
17.39,17.4,17.4,17.35,17.4,29,2022-07-25 09:10:00
17.39,17.4,17.4,17.35,17.4,4,2022-07-25 09:11:00
17.39,17.4,17.4,17.4,17.4,1,2022-07-25 09:13:00
17.39,17.4,17.45,17.35,17.4,150,2022-07-25 09:14:00
17.39,17.4,17.4,17.4,17.4,5,2022-07-25 09:15:00
17.39,17.4,17.45,17.4,17.45,10,2022-07-25 09:16:00
17.39,17.45,17.45,17.4,17.4,4,2022-07-25 09:19:00
17.39,17.4,17.4,17.4,17.4,7,2022-07-25 09:21:00
17.39,17.45,17.45,17.4,17.4,13,2022-07-25 09:22:00
17.43,17.45,17.5,17.4,17.45,631,2022-07-25 09:24:00
17.43,17.45,17.5,17.45,17.45,5,2022-07-25 09:25:00
17.43,17.5,17.5,17.45,17.5,16,2022-07-25 09:26:00
17.43,17.5,17.5,17.45,17.45,28,2022-07-25 09:27:00
17.43,17.5,17.5,17.5,17.5,5,2022-07-25 09:28:00
17.43,17.45,17.45,17.45,17.45,21,2022-07-25 09:29:00
17.43,17.45,17.45,17.45,17.45,6,2022-07-25 09:30:00
17.43,17.5,17.5,17.5,17.5,1,2022-07-25 09:31:00
17.44,17.5,17.5,17.45,17.45,206,2022-07-25 09:33:00
17.44,17.45,17.5,17.45,17.45,16,2022-07-25 09:34:00
17.44,17.5,17.5,17.5,17.5,2,2022-07-25 09:35:00
17.45,17.5,17.5,17.45,17.5,17,2022-07-25 09:37:00
17.45,17.5,17.5,17.45,17.45,13,2022-07-25 09:39:00
17.45,17.5,17.5,17.5,17.5,2,2022-07-25 09:40:00
17.45,17.5,17.5,17.5,17.5,14,2022-07-25 09:42:00
17.46,17.5,17.5,17.45,17.5,325,2022-07-25 09:43:00
17.46,17.5,17.5,17.5,17.5,8,2022-07-25 09:44:00
17.46,17.5,17.5,17.5,17.5,2,2022-07-25 09:45:00
17.46,17.55,17.55,17.5,17.55,33,2022-07-25 09:46:00
17.46,17.5,17.5,17.5,17.5,41,2022-07-25 09:47:00
