a,o,h,l,c,v,t
34.66,34.7,34.7,34.5,34.5,394,2022-07-25 09:01:00
34.61,34.55,34.55,34.45,34.5,189,2022-07-25 09:02:00
34.56,34.5,34.5,34.35,34.4,201,2022-07-25 09:03:00
34.54,34.4,34.45,34.35,34.45,115,2022-07-25 09:04:00
34.54,34.45,34.45,34.4,34.4,49,2022-07-25 09:05:00
34.53,34.45,34.45,34.4,34.4,40,2022-07-25 09:06:00
34.53,34.45,34.45,34.45,34.45,24,2022-07-25 09:07:00
34.53,34.45,34.45,34.4,34.4,18,2022-07-25 09:08:00
34.53,34.45,34.45,34.4,34.45,24,2022-07-25 09:09:00
34.52,34.45,34.45,34.4,34.4,78,2022-07-25 09:10:00
34.52,34.45,34.5,34.4,34.45,105,2022-07-25 09:11:00
34.51,34.5,34.5,34.45,34.5,73,2022-07-25 09:12:00
34.51,34.5,34.5,34.45,34.5,36,2022-07-25 09:13:00
34.51,34.5,34.5,34.45,34.5,38,2022-07-25 09:14:00
34.51,34.5,34.5,34.45,34.45,46,2022-07-25 09:15:00
34.51,34.5,34.5,34.45,34.5,72,2022-07-25 09:16:00
34.51,34.5,34.55,34.45,34.5,18,2022-07-25 09:17:00
34.51,34.55,34.55,34.5,34.55,94,2022-07-25 09:18:00
34.51,34.55,34.6,34.5,34.6,40,2022-07-25 09:19:00
34.52,34.6,34.65,34.6,34.65,45,2022-07-25 09:20:00
34.52,34.6,34.7,34.5,34.65,85,2022-07-25 09:21:00
34.52,34.6,34.65,34.55,34.6,46,2022-07-25 09:22:00
34.52,34.55,34.65,34.55,34.65,12,2022-07-25 09:23:00
34.52,34.65,34.65,34.6,34.6,34,2022-07-25 09:24:00
34.53,34.6,34.6,34.55,34.6,11,2022-07-25 09:25:00
34.53,34.6,34.6,34.55,34.55,15,2022-07-25 09:26:00
34.53,34.6,34.6,34.55,34.6,19,2022-07-25 09:27:00
34.53,34.6,34.6,34.55,34.6,24,2022-07-25 09:28:00
34.53,34.6,34.6,34.55,34.55,10,2022-07-25 09:29:00
34.53,34.6,34.6,34.6,34.6,14,2022-07-25 09:30:00
34.53,34.6,34.6,34.6,34.6,9,2022-07-25 09:31:00
34.53,34.6,34.6,34.55,34.6,14,2022-07-25 09:32:00
34.53,34.6,34.6,34.55,34.6,18,2022-07-25 09:33:00
34.53,34.6,34.6,34.6,34.6,14,2022-07-25 09:34:00
34.53,34.6,34.6,34.55,34.55,13,2022-07-25 09:35:00
34.53,34.6,34.6,34.55,34.6,31,2022-07-25 09:36:00
34.54,34.6,34.65,34.55,34.65,149,2022-07-25 09:37:00
34.54,34.65,34.65,34.6,34.6,19,2022-07-25 09:38:00
