a,o,h,l,c,v,t
148.62,148.0,150.0,147.5,148.5,1959,2022-07-25 09:01:00
148.43,148.5,149.0,147.0,148.0,1024,2022-07-25 09:02:00
148.71,147.5,150.5,147.5,150.5,1239,2022-07-25 09:03:00
149.05,150.5,151.0,149.5,151.0,1093,2022-07-25 09:04:00
149.36,151.5,152.0,150.0,150.5,915,2022-07-25 09:05:00
149.51,150.5,151.5,150.0,151.0,624,2022-07-25 09:06:00
149.59,151.0,151.5,150.5,150.5,492,2022-07-25 09:07:00
149.67,150.5,151.5,150.5,151.0,479,2022-07-25 09:08:00
149.91,151.0,152.5,151.0,152.5,1150,2022-07-25 09:09:00
150.02,152.5,152.5,150.5,151.0,629,2022-07-25 09:10:00
150.02,151.0,151.5,149.0,149.5,762,2022-07-25 09:11:00
149.94,149.5,149.5,148.0,148.0,807,2022-07-25 09:12:00
149.87,148.0,149.5,148.0,149.0,597,2022-07-25 09:13:00
149.84,149.0,149.5,148.5,148.5,364,2022-07-25 09:14:00
149.66,148.5,148.5,147.0,147.0,995,2022-07-25 09:15:00
149.52,147.5,148.0,146.0,147.0,619,2022-07-25 09:16:00
149.47,146.5,147.5,146.5,147.5,296,2022-07-25 09:17:00
149.39,147.5,148.0,146.5,147.0,510,2022-07-25 09:18:00
149.33,146.5,146.5,146.0,146.5,284,2022-07-25 09:19:00
149.29,146.5,147.5,146.0,147.0,240,2022-07-25 09:20:00
149.27,147.0,147.5,146.5,147.0,138,2022-07-25 09:21:00
149.21,147.0,147.0,146.0,146.0,361,2022-07-25 09:22:00
149.07,146.0,146.5,145.0,145.5,634,2022-07-25 09:23:00
149.03,145.5,146.5,145.5,146.0,195,2022-07-25 09:24:00
149.02,146.0,146.5,146.0,146.5,72,2022-07-25 09:25:00
148.99,146.5,146.5,146.0,146.5,167,2022-07-25 09:26:00
148.95,146.5,147.5,146.0,147.5,314,2022-07-25 09:27:00
148.92,147.5,148.0,147.0,147.5,420,2022-07-25 09:28:00
148.91,147.5,148.0,147.0,147.5,93,2022-07-25 09:29:00
148.9,147.5,148.0,147.5,148.0,134,2022-07-25 09:30:00
148.9,147.5,148.0,147.0,147.5,93,2022-07-25 09:31:00
148.89,147.5,147.5,147.0,147.5,83,2022-07-25 09:32:00
148.87,147.5,147.5,147.0,147.5,150,2022-07-25 09:33:00
148.84,147.5,147.5,146.0,146.0,270,2022-07-25 09:34:00
148.83,146.0,146.5,146.0,146.5,93,2022-07-25 09:35:00
148.83,147.0,147.0,146.5,147.0,20,2022-07-25 09:36:00
148.83,147.0,147.0,146.5,147.0,23,2022-07-25 09:37:00
148.82,147.0,147.0,146.5,147.0,82,2022-07-25 09:38:00
148.81,147.0,147.0,146.5,146.5,10,2022-07-25 09:39:00
148.81,146.5,147.0,146.5,147.0,31,2022-07-25 09:40:00
148.81,147.0,147.0,146.5,147.0,51,2022-07-25 09:41:00
148.8,147.0,147.0,147.0,147.0,80,2022-07-25 09:42:00
148.8,147.0,147.5,147.0,147.5,37,2022-07-25 09:43:00
148.79,147.5,148.0,147.0,148.0,92,2022-07-25 09:44:00
148.78,148.0,148.0,147.5,148.0,134,2022-07-25 09:45:00
