a,o,h,l,c,v,t
22.73,22.75,22.8,22.65,22.65,577,2022-07-25 09:01:00
22.72,22.65,22.65,22.65,22.65,88,2022-07-25 09:02:00
22.72,22.65,22.7,22.65,22.7,54,2022-07-25 09:03:00
22.71,22.65,22.7,22.6,22.6,207,2022-07-25 09:04:00
22.7,22.65,22.65,22.6,22.6,53,2022-07-25 09:05:00
22.7,22.65,22.65,22.6,22.65,50,2022-07-25 09:06:00
22.69,22.65,22.65,22.6,22.6,58,2022-07-25 09:07:00
22.69,22.6,22.65,22.6,22.65,35,2022-07-25 09:08:00
22.69,22.65,22.65,22.6,22.6,100,2022-07-25 09:09:00
22.68,22.6,22.6,22.6,22.6,105,2022-07-25 09:10:00
22.66,22.6,22.6,22.55,22.6,336,2022-07-25 09:11:00
22.65,22.6,22.6,22.55,22.6,121,2022-07-25 09:12:00
22.64,22.55,22.65,22.55,22.65,505,2022-07-25 09:13:00
22.64,22.65,22.7,22.65,22.65,27,2022-07-25 09:14:00
22.65,22.65,22.7,22.65,22.7,284,2022-07-25 09:15:00
22.65,22.7,22.75,22.7,22.7,90,2022-07-25 09:16:00
22.65,22.65,22.75,22.65,22.7,52,2022-07-25 09:17:00
22.65,22.7,22.7,22.7,22.7,35,2022-07-25 09:18:00
22.65,22.7,22.7,22.65,22.65,107,2022-07-25 09:19:00
22.67,22.7,22.8,22.65,22.8,542,2022-07-25 09:20:00
22.67,22.7,22.8,22.7,22.8,11,2022-07-25 09:21:00
22.67,22.75,22.8,22.75,22.8,89,2022-07-25 09:22:00
22.69,22.75,22.85,22.75,22.75,591,2022-07-25 09:23:00
22.69,22.75,22.8,22.75,22.8,81,2022-07-25 09:24:00
22.7,22.75,22.8,22.75,22.8,163,2022-07-25 09:25:00
22.7,22.8,22.8,22.75,22.75,33,2022-07-25 09:26:00
22.7,22.75,22.8,22.75,22.8,100,2022-07-25 09:27:00
22.7,22.75,22.8,22.75,22.8,54,2022-07-25 09:28:00
22.7,22.75,22.8,22.7,22.75,71,2022-07-25 09:29:00
22.7,22.7,22.7,22.7,22.7,6,2022-07-25 09:30:00
22.7,22.75,22.75,22.7,22.75,46,2022-07-25 09:31:00
22.7,22.7,22.75,22.7,22.7,35,2022-07-25 09:32:00
22.7,22.7,22.75,22.7,22.7,40,2022-07-25 09:33:00
22.7,22.7,22.75,22.7,22.75,46,2022-07-25 09:34:00
22.7,22.7,22.75,22.7,22.75,39,2022-07-25 09:35:00
22.7,22.7,22.75,22.7,22.75,106,2022-07-25 09:36:00
22.71,22.75,22.85,22.7,22.8,577,2022-07-25 09:37:00
22.71,22.8,22.8,22.75,22.75,92,2022-07-25 09:38:00
22.71,22.75,22.8,22.75,22.8,19,2022-07-25 09:39:00
22.71,22.75,22.8,22.75,22.8,23,2022-07-25 09:40:00
22.71,22.75,22.8,22.75,22.8,35,2022-07-25 09:41:00
22.71,22.8,22.8,22.75,22.75,35,2022-07-25 09:42:00
22.71,22.75,22.8,22.75,22.8,78,2022-07-25 09:43:00
22.71,22.8,22.8,22.75,22.8,42,2022-07-25 09:44:00
22.72,22.8,22.85,22.75,22.85,364,2022-07-25 09:45:00
22.72,22.85,22.85,22.8,22.85,10,2022-07-25 09:46:00
22.72,22.8,22.85,22.8,22.85,19,2022-07-25 09:47:00
22.73,22.8,22.85,22.8,22.8,465,2022-07-25 09:48:00
22.73,22.85,22.9,22.8,22.85,222,2022-07-25 09:49:00
22.73,22.85,22.85,22.8,22.8,65,2022-07-25 09:50:00
22.73,22.8,22.85,22.8,22.8,88,2022-07-25 09:51:00
22.73,22.8,22.85,22.8,22.85,22,2022-07-25 09:52:00
22.73,22.8,22.85,22.8,22.85,42,2022-07-25 09:53:00
22.73,22.8,22.85,22.8,22.8,19,2022-07-25 09:54:00
22.74,22.85,22.85,22.8,22.85,67,2022-07-25 09:55:00
22.74,22.85,22.85,22.8,22.85,26,2022-07-25 09:56:00
22.74,22.8,22.85,22.8,22.85,153,2022-07-25 09:57:00
22.74,22.8,22.85,22.8,22.8,17,2022-07-25 09:58:00
22.74,22.8,22.85,22.8,22.8,166,2022-07-25 09:59:00
22.74,22.8,22.85,22.8,22.8,49,2022-07-25 10:00:00
22.74,22.8,22.85,22.8,22.8,10,2022-07-25 10:01:00
22.74,22.8,22.85,22.8,22.8,38,2022-07-25 10:02:00
22.74,22.8,22.85,22.8,22.8,36,2022-07-25 10:03:00
22.74,22.8,22.85,22.8,22.8,10,2022-07-25 10:04:00
22.74,22.85,22.85,22.8,22.8,37,2022-07-25 10:05:00
22.74,22.8,22.85,22.8,22.8,38,2022-07-25 10:06:00
22.74,22.8,22.85,22.8,22.85,146,2022-07-25 10:07:00
22.75,22.8,22.85,22.8,22.8,236,2022-07-25 10:08:00
22.75,22.8,22.85,22.8,22.8,92,2022-07-25 10:09:00
22.75,22.8,22.85,22.8,22.8,13,2022-07-25 10:10:00
22.75,22.8,22.85,22.8,22.8,36,2022-07-25 10:11:00
22.75,22.8,22.85,22.8,22.8,10,2022-07-25 10:12:00
22.75,22.8,22.85,22.8,22.8,20,2022-07-25 10:13:00
22.75,22.8,22.85,22.8,22.8,17,2022-07-25 10:14:00
22.75,22.8,22.85,22.8,22.8,95,2022-07-25 10:15:00
22.75,22.8,22.85,22.8,22.8,11,2022-07-25 10:16:00
22.75,22.8,22.85,22.8,22.8,13,2022-07-25 10:17:00
22.75,22.8,22.85,22.8,22.8,40,2022-07-25 10:18:00
22.75,22.8,22.85,22.8,22.8,30,2022-07-25 10:19:00
22.75,22.8,22.85,22.8,22.8,35,2022-07-25 10:20:00
22.75,22.85,22.85,22.8,22.85,16,2022-07-25 10:21:00
22.75,22.8,22.85,22.8,22.8,24,2022-07-25 10:22:00
22.75,22.85,22.85,22.8,22.8,12,2022-07-25 10:23:00
22.75,22.8,22.85,22.8,22.8,64,2022-07-25 10:24:00
22.75,22.8,22.85,22.8,22.8,56,2022-07-25 10:25:00
22.75,22.85,22.85,22.8,22.8,38,2022-07-25 10:26:00
22.75,22.8,22.85,22.8,22.85,29,2022-07-25 10:27:00
22.75,22.8,22.85,22.8,22.8,16,2022-07-25 10:28:00
22.75,22.8,22.85,22.8,22.8,40,2022-07-25 10:29:00
22.75,22.8,22.85,22.8,22.8,59,2022-07-25 10:30:00
22.75,22.8,22.85,22.75,22.8,140,2022-07-25 10:31:00
22.75,22.75,22.8,22.75,22.8,34,2022-07-25 10:32:00
22.75,22.75,22.8,22.75,22.75,33,2022-07-25 10:33:00
22.75,22.75,22.8,22.75,22.75,12,2022-07-25 10:34:00
22.75,22.75,22.8,22.75,22.8,10,2022-07-25 10:35:00
22.75,22.75,22.8,22.75,22.75,7,2022-07-25 10:36:00
22.75,22.75,22.8,22.75,22.8,4,2022-07-25 10:37:00
22.75,22.75,22.8,22.75,22.8,11,2022-07-25 10:38:00
22.75,22.8,22.8,22.75,22.75,19,2022-07-25 10:39:00
22.75,22.8,22.8,22.75,22.8,43,2022-07-25 10:40:00
22.75,22.8,22.8,22.8,22.8,19,2022-07-25 10:41:00
22.76,22.75,22.85,22.75,22.85,1266,2022-07-25 10:42:00
22.76,22.85,22.85,22.8,22.8,26,2022-07-25 10:43:00
22.76,22.85,22.85,22.8,22.85,53,2022-07-25 10:44:00
22.76,22.85,22.85,22.8,22.85,19,2022-07-25 10:45:00
22.76,22.85,22.85,22.85,22.85,12,2022-07-25 10:46:00
22.76,22.8,22.85,22.8,22.85,10,2022-07-25 10:47:00
22.76,22.85,22.85,22.8,22.8,32,2022-07-25 10:48:00
22.76,22.85,22.85,22.8,22.85,24,2022-07-25 10:49:00
22.76,22.85,22.9,22.8,22.9,471,2022-07-25 10:50:00
22.76,22.9,22.9,22.85,22.9,59,2022-07-25 10:51:00
22.76,22.9,22.9,22.85,22.9,24,2022-07-25 10:52:00
22.77,22.9,22.9,22.85,22.9,37,2022-07-25 10:53:00
22.77,22.9,22.9,22.9,22.9,30,2022-07-25 10:54:00
22.77,22.9,22.9,22.85,22.9,32,2022-07-25 10:55:00
22.77,22.9,22.9,22.85,22.9,24,2022-07-25 10:56:00
22.77,22.9,22.9,22.85,22.9,28,2022-07-25 10:57:00
22.77,22.9,22.9,22.85,22.85,33,2022-07-25 10:58:00
22.77,22.9,22.9,22.9,22.9,52,2022-07-25 10:59:00
22.77,22.9,22.9,22.85,22.85,50,2022-07-25 11:00:00
22.77,22.85,22.9,22.85,22.85,82,2022-07-25 11:01:00
22.77,22.85,22.9,22.85,22.9,82,2022-07-25 11:02:00
22.77,22.9,22.9,22.85,22.85,42,2022-07-25 11:03:00
22.77,22.85,22.9,22.85,22.85,33,2022-07-25 11:04:00
22.77,22.9,22.9,22.85,22.85,24,2022-07-25 11:05:00
22.77,22.9,22.9,22.85,22.9,27,2022-07-25 11:06:00
22.77,22.85,22.9,22.85,22.9,109,2022-07-25 11:07:00
22.77,22.85,22.9,22.85,22.85,94,2022-07-25 11:08:00
22.77,22.9,22.9,22.85,22.9,40,2022-07-25 11:09:00
22.77,22.85,22.9,22.85,22.85,149,2022-07-25 11:10:00
