a,o,h,l,c,v,t
25.74,25.75,25.75,25.65,25.65,405,2022-07-25 09:01:00
25.71,25.65,25.7,25.6,25.65,157,2022-07-25 09:02:00
25.7,25.65,25.65,25.6,25.65,31,2022-07-25 09:03:00
25.69,25.65,25.65,25.55,25.65,63,2022-07-25 09:04:00
25.69,25.65,25.65,25.65,25.65,3,2022-07-25 09:05:00
25.69,25.65,25.65,25.6,25.6,11,2022-07-25 09:06:00
25.69,25.65,25.65,25.6,25.6,69,2022-07-25 09:07:00
25.69,25.65,25.65,25.6,25.65,11,2022-07-25 09:08:00
25.68,25.65,25.65,25.6,25.65,26,2022-07-25 09:09:00
25.68,25.65,25.7,25.6,25.7,243,2022-07-25 09:10:00
25.68,25.7,25.7,25.65,25.7,43,2022-07-25 09:11:00
25.68,25.65,25.75,25.65,25.75,59,2022-07-25 09:12:00
25.68,25.75,25.75,25.7,25.75,14,2022-07-25 09:13:00
25.68,25.7,25.75,25.7,25.75,12,2022-07-25 09:14:00
25.68,25.75,25.75,25.7,25.7,16,2022-07-25 09:15:00
25.68,25.7,25.75,25.7,25.75,37,2022-07-25 09:16:00
25.71,25.75,25.85,25.7,25.85,552,2022-07-25 09:17:00
25.72,25.85,25.85,25.8,25.8,69,2022-07-25 09:18:00
25.72,25.8,25.8,25.75,25.8,12,2022-07-25 09:19:00
25.73,25.8,25.95,25.8,25.9,166,2022-07-25 09:20:00
25.73,25.9,25.9,25.85,25.85,25,2022-07-25 09:21:00
25.73,25.85,25.9,25.85,25.85,37,2022-07-25 09:22:00
25.73,25.85,25.9,25.85,25.85,9,2022-07-25 09:23:00
25.73,25.85,25.85,25.8,25.8,37,2022-07-25 09:24:00
25.73,25.85,25.85,25.85,25.85,7,2022-07-25 09:25:00
25.73,25.85,25.85,25.85,25.85,9,2022-07-25 09:26:00
25.74,25.85,25.85,25.8,25.85,18,2022-07-25 09:27:00
25.74,25.8,25.85,25.8,25.8,77,2022-07-25 09:28:00
25.74,25.8,25.8,25.75,25.75,15,2022-07-25 09:29:00
25.74,25.75,25.8,25.75,25.75,11,2022-07-25 09:30:00
25.74,25.8,25.8,25.75,25.75,18,2022-07-25 09:31:00
25.74,25.75,25.8,25.75,25.8,4,2022-07-25 09:32:00
25.74,25.8,25.8,25.75,25.75,15,2022-07-25 09:33:00
25.74,25.8,25.8,25.75,25.8,129,2022-07-25 09:34:00
25.74,25.8,25.85,25.8,25.85,67,2022-07-25 09:35:00
25.74,25.85,25.85,25.85,25.85,11,2022-07-25 09:36:00
25.74,25.85,25.85,25.85,25.85,10,2022-07-25 09:37:00
25.75,25.85,25.85,25.8,25.85,31,2022-07-25 09:38:00
25.75,25.85,25.85,25.85,25.85,9,2022-07-25 09:39:00
25.75,25.85,25.85,25.85,25.85,14,2022-07-25 09:40:00
25.75,25.85,25.85,25.8,25.85,10,2022-07-25 09:41:00
25.75,25.85,25.85,25.85,25.85,7,2022-07-25 09:42:00
25.75,25.85,25.85,25.8,25.85,11,2022-07-25 09:43:00
25.75,25.8,25.85,25.8,25.85,10,2022-07-25 09:44:00
25.75,25.8,25.8,25.8,25.8,16,2022-07-25 09:45:00
25.75,25.85,25.85,25.8,25.85,29,2022-07-25 09:46:00
25.75,25.85,25.85,25.8,25.85,27,2022-07-25 09:47:00
25.75,25.85,25.85,25.8,25.8,11,2022-07-25 09:48:00
25.76,25.85,25.9,25.85,25.9,323,2022-07-25 09:49:00
25.76,25.9,25.9,25.9,25.9,20,2022-07-25 09:50:00
25.77,25.85,25.9,25.85,25.9,144,2022-07-25 09:51:00
25.77,25.9,25.9,25.9,25.9,4,2022-07-25 09:52:00
25.77,25.9,25.9,25.85,25.85,32,2022-07-25 09:53:00
25.77,25.9,25.9,25.9,25.9,6,2022-07-25 09:54:00
25.77,25.9,25.9,25.85,25.9,22,2022-07-25 09:55:00
25.78,25.9,25.95,25.9,25.95,167,2022-07-25 09:56:00
25.78,25.95,25.95,25.9,25.95,5,2022-07-25 09:57:00
25.78,25.9,25.95,25.9,25.9,21,2022-07-25 09:58:00
25.78,25.9,25.95,25.9,25.95,9,2022-07-25 09:59:00
25.78,25.95,25.95,25.9,25.95,6,2022-07-25 10:00:00
25.78,25.9,25.95,25.9,25.95,12,2022-07-25 10:01:00
25.78,25.9,25.95,25.9,25.95,22,2022-07-25 10:02:00
25.78,25.9,25.95,25.9,25.95,38,2022-07-25 10:03:00
25.78,25.95,25.95,25.9,25.9,37,2022-07-25 10:04:00
25.79,25.9,25.95,25.85,25.85,108,2022-07-25 10:05:00
25.79,25.9,25.9,25.85,25.85,15,2022-07-25 10:06:00
25.79,25.85,25.9,25.85,25.85,14,2022-07-25 10:07:00
25.79,25.85,25.9,25.85,25.85,17,2022-07-25 10:08:00
25.79,25.85,25.9,25.85,25.9,14,2022-07-25 10:09:00
25.79,25.85,25.9,25.85,25.85,14,2022-07-25 10:10:00
25.79,25.85,25.9,25.85,25.85,12,2022-07-25 10:11:00
25.79,25.85,25.9,25.85,25.9,45,2022-07-25 10:12:00
25.79,25.85,25.9,25.85,25.9,17,2022-07-25 10:13:00
25.79,25.9,25.9,25.85,25.85,6,2022-07-25 10:14:00
25.79,25.9,25.9,25.85,25.85,10,2022-07-25 10:15:00
25.79,25.85,25.9,25.85,25.9,4,2022-07-25 10:16:00
25.79,25.85,25.9,25.85,25.85,17,2022-07-25 10:17:00
25.79,25.9,25.9,25.9,25.9,14,2022-07-25 10:18:00
25.79,25.9,25.9,25.85,25.85,7,2022-07-25 10:19:00
25.79,25.9,25.9,25.9,25.9,11,2022-07-25 10:20:00
25.79,25.9,25.9,25.85,25.85,19,2022-07-25 10:21:00
25.79,25.9,25.9,25.85,25.85,17,2022-07-25 10:22:00
25.79,25.9,25.9,25.9,25.9,6,2022-07-25 10:23:00
25.79,25.9,25.9,25.85,25.9,29,2022-07-25 10:24:00
25.79,25.85,25.9,25.85,25.85,12,2022-07-25 10:25:00
25.79,25.9,25.9,25.85,25.9,19,2022-07-25 10:26:00
25.79,25.9,25.9,25.85,25.9,15,2022-07-25 10:27:00
25.79,25.9,25.9,25.85,25.85,31,2022-07-25 10:28:00
25.79,25.9,25.9,25.85,25.9,15,2022-07-25 10:29:00
25.8,25.9,25.9,25.85,25.9,119,2022-07-25 10:30:00
25.8,25.9,25.9,25.85,25.9,12,2022-07-25 10:31:00
25.8,25.85,25.9,25.85,25.9,8,2022-07-25 10:32:00
25.8,25.85,25.9,25.85,25.9,12,2022-07-25 10:33:00
25.8,25.9,25.95,25.9,25.95,290,2022-07-25 10:34:00
25.8,25.95,25.95,25.95,25.95,9,2022-07-25 10:35:00
25.8,25.9,25.9,25.9,25.9,1,2022-07-25 10:36:00
25.8,25.9,25.95,25.9,25.95,16,2022-07-25 10:37:00
25.8,25.95,25.95,25.9,25.95,8,2022-07-25 10:38:00
25.8,25.95,25.95,25.9,25.95,5,2022-07-25 10:39:00
25.8,25.95,25.95,25.9,25.95,11,2022-07-25 10:40:00
25.81,25.95,25.95,25.9,25.95,37,2022-07-25 10:41:00
25.84,25.95,26.05,25.95,26.05,1057,2022-07-25 10:42:00
25.84,26.05,26.05,26.0,26.05,34,2022-07-25 10:43:00
25.84,26.05,26.05,26.0,26.05,51,2022-07-25 10:44:00
25.85,26.0,26.05,25.95,26.0,360,2022-07-25 10:45:00
25.85,26.0,26.0,26.0,26.0,10,2022-07-25 10:46:00
25.85,26.0,26.0,26.0,26.0,15,2022-07-25 10:47:00
25.85,26.0,26.0,26.0,26.0,13,2022-07-25 10:48:00
25.85,26.0,26.0,26.0,26.0,7,2022-07-25 10:49:00
25.85,26.0,26.0,25.95,26.0,5,2022-07-25 10:50:00
25.85,25.95,26.0,25.95,26.0,65,2022-07-25 10:51:00
25.85,26.0,26.05,26.0,26.05,60,2022-07-25 10:52:00
25.85,26.0,26.05,26.0,26.0,9,2022-07-25 10:53:00
25.85,26.05,26.05,26.05,26.05,2,2022-07-25 10:54:00
25.85,26.05,26.05,26.0,26.05,6,2022-07-25 10:55:00
25.85,26.05,26.05,26.05,26.05,1,2022-07-25 10:57:00
25.85,26.05,26.05,26.0,26.0,31,2022-07-25 10:58:00
25.85,26.05,26.05,26.0,26.05,7,2022-07-25 10:59:00
25.86,26.0,26.05,26.0,26.0,9,2022-07-25 11:00:00
25.86,26.05,26.05,26.0,26.0,32,2022-07-25 11:01:00
25.86,26.0,26.05,26.0,26.05,15,2022-07-25 11:02:00
25.86,26.05,26.05,26.0,26.0,258,2022-07-25 11:03:00
25.86,26.05,26.05,26.0,26.0,6,2022-07-25 11:04:00
25.86,26.05,26.05,26.0,26.05,9,2022-07-25 11:05:00
25.86,26.05,26.05,26.0,26.0,19,2022-07-25 11:06:00
25.87,26.05,26.05,26.0,26.05,241,2022-07-25 11:07:00
25.87,26.05,26.05,26.05,26.05,8,2022-07-25 11:08:00
25.87,26.0,26.05,26.0,26.05,12,2022-07-25 11:09:00
25.87,26.05,26.05,26.0,26.0,5,2022-07-25 11:10:00
25.87,26.05,26.05,26.0,26.05,19,2022-07-25 11:11:00
25.87,26.05,26.05,26.05,26.05,17,2022-07-25 11:12:00
25.87,26.05,26.05,26.0,26.0,15,2022-07-25 11:13:00
25.87,26.05,26.05,26.0,26.05,9,2022-07-25 11:14:00
25.87,26.0,26.05,26.0,26.05,40,2022-07-25 11:15:00
25.88,26.05,26.05,26.0,26.0,60,2022-07-25 11:16:00
25.88,26.05,26.05,26.0,26.05,13,2022-07-25 11:17:00
25.88,26.05,26.05,26.05,26.05,3,2022-07-25 11:18:00
25.88,26.05,26.05,26.0,26.0,18,2022-07-25 11:19:00
25.88,26.05,26.05,26.0,26.05,24,2022-07-25 11:20:00
25.88,26.05,26.05,26.0,26.05,21,2022-07-25 11:21:00
25.88,26.05,26.05,26.05,26.05,13,2022-07-25 11:22:00
25.88,26.0,26.05,26.0,26.05,14,2022-07-25 11:23:00
25.88,26.0,26.05,26.0,26.05,9,2022-07-25 11:24:00
25.88,26.05,26.05,26.0,26.05,14,2022-07-25 11:25:00
25.88,26.05,26.05,26.0,26.05,13,2022-07-25 11:26:00
25.88,26.05,26.05,26.0,26.05,123,2022-07-25 11:27:00
25.88,26.0,26.05,26.0,26.05,8,2022-07-25 11:28:00
25.88,26.0,26.05,26.0,26.0,28,2022-07-25 11:29:00
25.88,26.05,26.05,26.0,26.0,17,2022-07-25 11:30:00
25.88,26.0,26.05,26.0,26.05,7,2022-07-25 11:31:00
25.89,26.0,26.05,25.95,26.0,613,2022-07-25 11:32:00
25.89,25.95,26.0,25.95,25.95,31,2022-07-25 11:33:00
25.89,26.0,26.0,25.95,26.0,8,2022-07-25 11:34:00
25.89,26.0,26.0,25.95,25.95,62,2022-07-25 11:35:00
25.89,25.95,26.0,25.9,26.0,60,2022-07-25 11:36:00
25.89,25.95,25.95,25.9,25.9,17,2022-07-25 11:37:00
25.89,25.9,26.0,25.9,26.0,36,2022-07-25 11:38:00
25.89,25.95,25.95,25.9,25.95,26,2022-07-25 11:39:00
25.89,25.9,25.95,25.9,25.9,12,2022-07-25 11:40:00
25.89,25.95,25.95,25.9,25.9,7,2022-07-25 11:41:00
25.89,25.9,25.95,25.9,25.95,6,2022-07-25 11:42:00
25.89,25.9,25.9,25.9,25.9,7,2022-07-25 11:43:00
25.89,25.95,25.95,25.9,25.95,19,2022-07-25 11:44:00
25.89,25.95,25.95,25.9,25.95,8,2022-07-25 11:45:00
25.89,25.95,25.95,25.9,25.95,9,2022-07-25 11:46:00
25.89,25.95,25.95,25.9,25.95,16,2022-07-25 11:47:00
25.89,25.95,25.95,25.9,25.9,4,2022-07-25 11:48:00
25.89,25.9,25.95,25.9,25.95,9,2022-07-25 11:49:00
25.89,25.9,25.95,25.9,25.95,8,2022-07-25 11:50:00
25.89,25.95,25.95,25.9,25.95,21,2022-07-25 11:51:00
25.89,25.9,25.95,25.9,25.95,11,2022-07-25 11:53:00
25.89,25.9,25.95,25.9,25.95,5,2022-07-25 11:54:00
25.89,25.95,25.95,25.9,25.95,32,2022-07-25 11:55:00
25.89,25.95,25.95,25.9,25.9,14,2022-07-25 11:56:00
25.89,25.9,25.95,25.9,25.9,9,2022-07-25 11:57:00
25.89,25.95,25.95,25.95,25.95,58,2022-07-25 11:58:00
25.89,25.9,25.95,25.9,25.95,8,2022-07-25 11:59:00
25.89,25.95,25.95,25.9,25.95,22,2022-07-25 12:00:00
25.89,25.95,25.95,25.9,25.95,9,2022-07-25 12:01:00
25.89,25.95,25.95,25.9,25.95,24,2022-07-25 12:02:00
25.9,25.95,26.0,25.9,26.0,292,2022-07-25 12:03:00
25.9,26.0,26.0,25.95,26.0,8,2022-07-25 12:04:00
25.9,26.0,26.05,26.0,26.0,301,2022-07-25 12:05:00
25.9,26.0,26.0,26.0,26.0,50,2022-07-25 12:06:00
25.9,26.0,26.0,25.95,26.0,196,2022-07-25 12:07:00
25.9,26.0,26.05,26.0,26.05,24,2022-07-25 12:08:00
25.9,26.05,26.05,26.05,26.05,2,2022-07-25 12:09:00
25.9,26.0,26.0,26.0,26.0,5,2022-07-25 12:10:00
25.9,26.05,26.05,26.0,26.0,12,2022-07-25 12:11:00
25.9,26.05,26.05,26.0,26.0,13,2022-07-25 12:12:00
25.9,26.0,26.05,26.0,26.05,2,2022-07-25 12:13:00
25.9,26.05,26.05,26.0,26.0,7,2022-07-25 12:14:00
25.9,26.0,26.05,26.0,26.05,15,2022-07-25 12:15:00
25.9,26.0,26.05,26.0,26.0,13,2022-07-25 12:16:00
25.9,26.05,26.05,26.0,26.0,8,2022-07-25 12:17:00
25.9,26.05,26.05,25.95,26.0,154,2022-07-25 12:18:00
25.9,26.0,26.0,25.95,26.0,64,2022-07-25 12:19:00
25.91,26.0,26.0,25.95,26.0,57,2022-07-25 12:20:00
25.91,26.0,26.0,26.0,26.0,4,2022-07-25 12:21:00
25.91,25.95,26.0,25.95,25.95,12,2022-07-25 12:22:00
25.91,26.0,26.0,26.0,26.0,3,2022-07-25 12:23:00
25.91,26.0,26.0,26.0,26.0,312,2022-07-25 12:24:00
25.91,26.0,26.05,26.0,26.05,22,2022-07-25 12:25:00
25.91,26.05,26.05,26.0,26.0,11,2022-07-25 12:26:00
25.91,26.05,26.05,26.05,26.05,1,2022-07-25 12:27:00
25.91,26.05,26.05,26.05,26.05,3,2022-07-25 12:28:00
25.91,26.0,26.05,26.0,26.0,5,2022-07-25 12:29:00
25.91,26.0,26.0,26.0,26.0,13,2022-07-25 12:30:00
25.91,26.05,26.05,26.0,26.0,11,2022-07-25 12:31:00
25.91,26.05,26.05,26.0,26.0,6,2022-07-25 12:33:00
25.91,26.05,26.05,26.05,26.05,1,2022-07-25 12:34:00
25.91,26.0,26.05,26.0,26.0,14,2022-07-25 12:35:00
25.91,26.0,26.05,26.0,26.05,10,2022-07-25 12:36:00
