a,o,h,l,c,v,t
29.13,29.15,29.15,29.05,29.1,991,2022-07-25 09:01:00
29.12,29.1,29.15,29.05,29.1,223,2022-07-25 09:02:00
29.12,29.05,29.1,29.05,29.05,43,2022-07-25 09:03:00
29.1,29.1,29.1,29.05,29.05,461,2022-07-25 09:04:00
29.1,29.05,29.05,29.0,29.05,162,2022-07-25 09:05:00
29.09,29.05,29.05,29.0,29.0,85,2022-07-25 09:06:00
29.09,29.0,29.05,29.0,29.0,67,2022-07-25 09:07:00
29.09,29.0,29.05,29.0,29.0,93,2022-07-25 09:08:00
29.09,29.0,29.05,29.0,29.05,103,2022-07-25 09:09:00
29.08,29.0,29.05,29.0,29.0,146,2022-07-25 09:10:00
29.07,29.05,29.05,29.0,29.05,292,2022-07-25 09:11:00
29.07,29.05,29.05,29.0,29.05,48,2022-07-25 09:12:00
29.07,29.05,29.1,29.0,29.05,181,2022-07-25 09:13:00
29.07,29.05,29.1,29.05,29.05,64,2022-07-25 09:14:00
29.07,29.1,29.1,29.05,29.05,60,2022-07-25 09:15:00
29.08,29.1,29.15,29.05,29.15,595,2022-07-25 09:16:00
29.1,29.15,29.3,29.15,29.25,1121,2022-07-25 09:17:00
29.1,29.3,29.3,29.25,29.3,106,2022-07-25 09:18:00
29.1,29.25,29.3,29.25,29.3,44,2022-07-25 09:19:00
29.11,29.3,29.3,29.25,29.3,100,2022-07-25 09:20:00
29.11,29.25,29.3,29.25,29.3,97,2022-07-25 09:21:00
29.12,29.3,29.3,29.25,29.3,113,2022-07-25 09:22:00
29.12,29.25,29.35,29.25,29.3,237,2022-07-25 09:23:00
29.13,29.3,29.35,29.3,29.35,54,2022-07-25 09:24:00
29.13,29.3,29.35,29.3,29.3,55,2022-07-25 09:25:00
29.13,29.35,29.35,29.3,29.3,35,2022-07-25 09:26:00
29.14,29.3,29.35,29.3,29.3,294,2022-07-25 09:27:00
29.14,29.3,29.3,29.25,29.25,191,2022-07-25 09:28:00
29.14,29.25,29.3,29.25,29.3,65,2022-07-25 09:29:00
29.14,29.3,29.3,29.25,29.3,28,2022-07-25 09:30:00
29.15,29.3,29.3,29.25,29.3,134,2022-07-25 09:31:00
29.15,29.3,29.3,29.25,29.25,29,2022-07-25 09:32:00
29.15,29.25,29.3,29.25,29.3,39,2022-07-25 09:33:00
29.15,29.3,29.3,29.25,29.25,23,2022-07-25 09:34:00
29.15,29.25,29.3,29.25,29.3,83,2022-07-25 09:35:00
29.15,29.25,29.3,29.25,29.25,44,2022-07-25 09:36:00
29.19,29.3,29.45,29.25,29.4,1355,2022-07-25 09:37:00
29.19,29.45,29.45,29.4,29.4,49,2022-07-25 09:38:00
29.19,29.4,29.45,29.4,29.4,94,2022-07-25 09:39:00
29.2,29.4,29.45,29.4,29.45,253,2022-07-25 09:40:00
29.2,29.4,29.45,29.4,29.4,128,2022-07-25 09:41:00
29.2,29.4,29.45,29.4,29.45,55,2022-07-25 09:42:00
29.21,29.4,29.45,29.4,29.4,91,2022-07-25 09:43:00
29.21,29.45,29.45,29.4,29.4,70,2022-07-25 09:44:00
29.21,29.45,29.45,29.4,29.45,122,2022-07-25 09:45:00
29.21,29.45,29.45,29.4,29.4,36,2022-07-25 09:46:00
29.21,29.45,29.45,29.4,29.45,135,2022-07-25 09:47:00
29.22,29.4,29.45,29.4,29.45,90,2022-07-25 09:48:00
29.22,29.4,29.45,29.4,29.45,73,2022-07-25 09:49:00
29.22,29.45,29.45,29.4,29.45,209,2022-07-25 09:50:00
29.23,29.4,29.45,29.4,29.4,182,2022-07-25 09:51:00
29.23,29.45,29.45,29.4,29.45,55,2022-07-25 09:52:00
29.23,29.45,29.45,29.4,29.45,129,2022-07-25 09:53:00
29.24,29.45,29.5,29.4,29.5,209,2022-07-25 09:54:00
29.24,29.5,29.5,29.45,29.5,249,2022-07-25 09:55:00
29.25,29.45,29.5,29.45,29.45,208,2022-07-25 09:56:00
29.25,29.5,29.5,29.4,29.4,190,2022-07-25 09:57:00
29.25,29.4,29.45,29.4,29.4,40,2022-07-25 09:58:00
29.25,29.4,29.45,29.4,29.45,31,2022-07-25 09:59:00
29.25,29.4,29.45,29.4,29.4,123,2022-07-25 10:00:00
29.26,29.4,29.4,29.3,29.3,590,2022-07-25 10:01:00
29.26,29.35,29.35,29.35,29.35,73,2022-07-25 10:02:00
29.26,29.35,29.35,29.3,29.35,67,2022-07-25 10:03:00
29.26,29.35,29.35,29.3,29.35,32,2022-07-25 10:04:00
