a,o,h,l,c,v,t
525.86,526,527,523,524,51,2022-07-25 09:01:00
525.38,524,526,523,525,25,2022-07-25 09:02:00
525.34,524,527,524,526,17,2022-07-25 09:03:00
527.49,527,532,527,530,92,2022-07-25 09:04:00
528.01,530,531,529,529,38,2022-07-25 09:05:00
529.16,530,536,530,536,51,2022-07-25 09:06:00
529.78,535,537,533,534,31,2022-07-25 09:07:00
529.9,534,534,530,530,20,2022-07-25 09:08:00
529.9,530,530,529,530,14,2022-07-25 09:09:00
529.9,530,530,530,530,4,2022-07-25 09:10:00
529.86,530,531,528,528,16,2022-07-25 09:11:00
529.76,528,528,527,527,17,2022-07-25 09:12:00
529.49,527,527,523,523,23,2022-07-25 09:13:00
529.42,525,527,525,527,7,2022-07-25 09:14:00
529.36,527,528,527,528,10,2022-07-25 09:15:00
529.08,526,526,524,524,31,2022-07-25 09:16:00
528.73,524,524,521,522,25,2022-07-25 09:17:00
528.54,522,522,521,522,13,2022-07-25 09:18:00
528.33,522,522,520,521,14,2022-07-25 09:19:00
528.14,521,521,520,521,13,2022-07-25 09:20:00
527.41,521,521,518,519,48,2022-07-25 09:21:00
527.01,519,519,518,519,27,2022-07-25 09:22:00
526.92,519,520,519,520,7,2022-07-25 09:23:00
526.88,521,524,521,523,6,2022-07-25 09:24:00
526.8,522,524,522,523,10,2022-07-25 09:25:00
526.79,523,523,523,523,2,2022-07-25 09:26:00
526.74,523,523,522,523,6,2022-07-25 09:27:00
526.71,522,522,522,522,5,2022-07-25 09:28:00
526.55,522,522,520,520,17,2022-07-25 09:29:00
526.51,520,520,520,520,3,2022-07-25 09:30:00
526.51,521,521,521,521,1,2022-07-25 09:31:00
526.48,522,522,521,522,4,2022-07-25 09:32:00
526.47,522,522,522,522,1,2022-07-25 09:33:00
526.44,522,523,522,523,5,2022-07-25 09:34:00
526.42,522,523,522,523,3,2022-07-25 09:35:00
526.39,523,525,523,525,6,2022-07-25 09:36:00
526.37,523,524,523,524,6,2022-07-25 09:37:00
526.35,524,524,524,524,5,2022-07-25 09:39:00
526.34,524,524,524,524,2,2022-07-25 09:40:00
526.34,525,525,525,525,2,2022-07-25 09:41:00
526.34,525,525,525,525,1,2022-07-25 09:42:00
526.32,525,527,525,526,14,2022-07-25 09:43:00
526.3,526,526,524,524,6,2022-07-25 09:44:00
526.29,524,524,524,524,6,2022-07-25 09:46:00
526.28,525,525,525,525,2,2022-07-25 09:47:00
526.27,525,525,524,525,5,2022-07-25 09:48:00
526.26,524,524,524,524,2,2022-07-25 09:49:00
526.26,525,525,525,525,1,2022-07-25 09:50:00
526.25,525,526,525,525,8,2022-07-25 09:51:00
526.25,525,526,525,526,4,2022-07-25 09:52:00
526.25,526,526,526,526,2,2022-07-25 09:53:00
526.24,526,527,526,526,8,2022-07-25 09:54:00
526.23,526,526,525,525,12,2022-07-25 09:55:00
526.23,526,527,526,526,5,2022-07-25 09:58:00
526.24,527,527,527,527,10,2022-07-25 09:59:00
