a,o,h,l,c,v,t
118.5,118.5,118.5,118.5,118.5,119,2022-07-25 09:01:00
118.51,118.5,119.0,118.5,119.0,302,2022-07-25 09:02:00
118.53,119.0,119.0,118.5,118.5,26,2022-07-25 09:03:00
118.55,119.0,119.0,118.5,119.0,21,2022-07-25 09:04:00
118.66,118.5,119.5,118.5,119.5,148,2022-07-25 09:05:00
118.66,119.5,119.5,119.0,119.0,8,2022-07-25 09:06:00
118.7,119.5,119.5,119.0,119.0,40,2022-07-25 09:07:00
118.7,119.0,119.5,119.0,119.5,5,2022-07-25 09:08:00
118.71,119.5,119.5,119.0,119.0,5,2022-07-25 09:09:00
118.72,119.5,119.5,119.5,119.5,16,2022-07-25 09:10:00
118.74,119.0,119.5,119.0,119.5,26,2022-07-25 09:11:00
118.74,119.5,119.5,119.0,119.0,14,2022-07-25 09:12:00
118.75,119.0,119.5,119.0,119.5,11,2022-07-25 09:13:00
118.77,119.5,119.5,119.0,119.0,25,2022-07-25 09:14:00
118.77,119.0,119.0,119.0,119.0,4,2022-07-25 09:15:00
118.78,119.0,119.5,119.0,119.0,4,2022-07-25 09:16:00
118.78,119.5,119.5,119.0,119.0,4,2022-07-25 09:17:00
118.78,119.5,119.5,119.5,119.5,5,2022-07-25 09:18:00
118.79,119.5,119.5,119.0,119.0,7,2022-07-25 09:19:00
118.79,119.0,119.5,119.0,119.5,6,2022-07-25 09:20:00
118.79,119.5,119.5,119.0,119.5,4,2022-07-25 09:21:00
118.8,119.5,119.5,119.0,119.5,5,2022-07-25 09:22:00
118.8,119.5,119.5,119.0,119.5,9,2022-07-25 09:23:00
118.8,119.0,119.5,119.0,119.5,6,2022-07-25 09:24:00
118.81,119.5,119.5,119.5,119.5,3,2022-07-25 09:25:00
118.81,119.5,119.5,119.0,119.0,8,2022-07-25 09:26:00
118.82,119.0,119.5,119.0,119.5,7,2022-07-25 09:27:00
118.82,119.0,119.0,119.0,119.0,8,2022-07-25 09:28:00
118.82,119.0,119.5,119.0,119.5,5,2022-07-25 09:29:00
118.82,119.5,119.5,119.0,119.0,4,2022-07-25 09:30:00
118.82,119.0,119.0,119.0,119.0,8,2022-07-25 09:31:00
118.82,119.0,119.5,119.0,119.0,4,2022-07-25 09:32:00
118.83,119.0,119.5,119.0,119.0,9,2022-07-25 09:33:00
118.84,119.5,119.5,119.5,119.5,18,2022-07-25 09:34:00
118.84,119.0,119.0,119.0,119.0,3,2022-07-25 09:35:00
118.84,119.0,119.5,119.0,119.5,4,2022-07-25 09:36:00
118.85,119.5,119.5,119.0,119.0,7,2022-07-25 09:37:00
118.85,119.0,119.5,119.0,119.5,5,2022-07-25 09:38:00
118.85,119.5,119.5,119.0,119.0,3,2022-07-25 09:39:00
118.85,119.5,119.5,119.0,119.0,4,2022-07-25 09:40:00
118.85,119.5,119.5,119.0,119.5,3,2022-07-25 09:41:00
118.86,119.0,119.5,119.0,119.0,5,2022-07-25 09:42:00
118.86,119.5,119.5,119.0,119.5,7,2022-07-25 09:43:00
118.86,119.5,119.5,119.0,119.0,5,2022-07-25 09:44:00
118.87,119.0,119.5,119.0,119.5,15,2022-07-25 09:45:00
118.88,119.5,119.5,119.0,119.0,18,2022-07-25 09:46:00
118.88,119.5,119.5,119.5,119.5,2,2022-07-25 09:47:00
118.88,119.5,119.5,119.5,119.5,7,2022-07-25 09:48:00
118.88,119.5,119.5,119.0,119.0,2,2022-07-25 09:49:00
118.89,119.5,119.5,119.0,119.5,9,2022-07-25 09:50:00
118.89,119.5,119.5,119.0,119.5,3,2022-07-25 09:52:00
118.89,119.5,119.5,119.5,119.5,6,2022-07-25 09:53:00
118.89,119.5,119.5,119.0,119.5,6,2022-07-25 09:54:00
118.91,119.5,119.5,119.0,119.0,23,2022-07-25 09:55:00
118.91,119.0,119.5,119.0,119.5,6,2022-07-25 09:56:00
118.91,119.5,119.5,119.0,119.5,4,2022-07-25 09:57:00
118.91,119.5,119.5,119.0,119.0,6,2022-07-25 09:58:00
118.92,119.5,119.5,119.5,119.5,4,2022-07-25 09:59:00
118.92,119.0,119.5,119.0,119.5,3,2022-07-25 10:00:00
118.92,119.5,119.5,119.0,119.0,3,2022-07-25 10:01:00
118.92,119.0,119.0,119.0,119.0,1,2022-07-25 10:02:00
118.92,119.5,119.5,119.0,119.5,10,2022-07-25 10:03:00
118.93,119.5,119.5,119.0,119.0,3,2022-07-25 10:04:00
118.93,119.0,119.5,119.0,119.5,4,2022-07-25 10:05:00
118.93,119.5,119.5,119.5,119.5,3,2022-07-25 10:06:00
118.93,119.0,119.5,119.0,119.5,4,2022-07-25 10:07:00
118.93,119.5,119.5,119.5,119.5,3,2022-07-25 10:08:00
118.93,119.5,119.5,119.0,119.5,6,2022-07-25 10:09:00
118.93,119.0,119.5,119.0,119.5,6,2022-07-25 10:10:00
118.99,119.5,119.5,119.0,119.5,125,2022-07-25 10:11:00
119.0,119.5,119.5,119.0,119.5,14,2022-07-25 10:12:00
119.0,119.5,119.5,119.0,119.5,9,2022-07-25 10:13:00
119.0,119.5,119.5,119.5,119.5,5,2022-07-25 10:14:00
119.0,119.5,119.5,119.0,119.0,7,2022-07-25 10:15:00
119.01,119.5,119.5,119.0,119.0,10,2022-07-25 10:16:00
119.01,119.5,119.5,119.0,119.5,16,2022-07-25 10:17:00
119.01,119.5,119.5,119.0,119.0,5,2022-07-25 10:18:00
119.01,119.5,119.5,119.0,119.0,3,2022-07-25 10:19:00
119.01,119.5,119.5,119.5,119.5,5,2022-07-25 10:20:00
119.02,119.0,119.5,119.0,119.5,4,2022-07-25 10:21:00
119.02,119.5,119.5,119.0,119.0,4,2022-07-25 10:22:00
119.02,119.0,119.5,119.0,119.5,6,2022-07-25 10:23:00
119.02,119.5,119.5,119.0,119.5,16,2022-07-25 10:24:00
119.02,119.5,119.5,119.5,119.5,2,2022-07-25 10:26:00
119.02,119.5,119.5,119.0,119.5,3,2022-07-25 10:27:00
119.02,119.0,119.5,119.0,119.0,7,2022-07-25 10:28:00
119.02,119.0,119.5,119.0,119.5,9,2022-07-25 10:29:00
119.02,119.0,119.5,119.0,119.5,3,2022-07-25 10:30:00
119.02,119.0,119.5,119.0,119.5,7,2022-07-25 10:31:00
119.04,119.5,119.5,119.0,119.5,46,2022-07-25 10:32:00
119.04,119.5,119.5,119.0,119.0,7,2022-07-25 10:33:00
119.04,119.5,119.5,119.0,119.0,4,2022-07-25 10:35:00
119.04,119.0,119.0,119.0,119.0,1,2022-07-25 10:36:00
119.04,119.5,119.5,119.0,119.5,5,2022-07-25 10:37:00
119.04,119.0,119.5,119.0,119.5,2,2022-07-25 10:38:00
119.04,119.5,119.5,119.5,119.5,2,2022-07-25 10:39:00
119.04,119.0,119.5,119.0,119.0,6,2022-07-25 10:41:00
119.04,119.5,119.5,119.0,119.0,5,2022-07-25 10:42:00
119.04,119.0,119.5,119.0,119.5,3,2022-07-25 10:43:00
119.05,119.5,119.5,119.0,119.5,7,2022-07-25 10:44:00
119.05,119.5,119.5,119.5,119.5,7,2022-07-25 10:45:00
119.05,119.5,119.5,119.0,119.5,10,2022-07-25 10:46:00
119.05,119.0,119.5,119.0,119.0,9,2022-07-25 10:47:00
119.06,119.5,119.5,119.5,119.5,18,2022-07-25 10:48:00
119.06,119.5,119.5,119.0,119.0,10,2022-07-25 10:49:00
119.06,119.0,119.5,119.0,119.5,7,2022-07-25 10:50:00
119.07,119.5,119.5,119.0,119.5,23,2022-07-25 10:51:00
119.07,119.5,119.5,119.5,119.5,6,2022-07-25 10:52:00
119.07,119.5,119.5,119.0,119.5,17,2022-07-25 10:53:00
119.19,119.5,120.0,119.5,119.5,521,2022-07-25 10:54:00
119.19,120.0,120.0,120.0,120.0,6,2022-07-25 10:55:00
119.19,119.5,120.0,119.5,119.5,11,2022-07-25 10:56:00
119.2,120.0,120.0,120.0,120.0,19,2022-07-25 10:57:00
119.26,120.0,120.0,120.0,120.0,171,2022-07-25 10:58:00
