a,o,h,l,c,v,t
499.92,500.0,500.0,499.0,499.0,2075,2022-07-25 09:01:00
499.85,499.0,499.0,498.5,499.0,129,2022-07-25 09:02:00
499.76,498.5,500.0,498.5,500.0,564,2022-07-25 09:03:00
499.76,499.5,500.0,499.5,500.0,55,2022-07-25 09:04:00
499.76,499.5,500.0,499.5,500.0,61,2022-07-25 09:05:00
499.76,499.5,500.0,499.5,499.5,29,2022-07-25 09:06:00
499.75,500.0,500.0,499.5,499.5,182,2022-07-25 09:07:00
499.74,499.5,500.0,499.5,499.5,160,2022-07-25 09:08:00
499.74,499.5,500.0,499.5,499.5,108,2022-07-25 09:09:00
499.72,499.5,499.5,499.0,499.5,195,2022-07-25 09:10:00
499.71,499.5,499.5,499.0,499.0,62,2022-07-25 09:11:00
499.7,499.0,499.5,499.0,499.5,97,2022-07-25 09:12:00
499.7,499.0,499.5,499.0,499.0,29,2022-07-25 09:13:00
499.7,499.5,500.0,499.5,499.5,111,2022-07-25 09:14:00
499.7,499.5,500.0,499.5,499.5,28,2022-07-25 09:15:00
499.7,500.0,500.0,499.5,500.0,12,2022-07-25 09:16:00
499.73,499.5,501.0,499.5,501.0,356,2022-07-25 09:17:00
499.74,501.0,501.0,500.0,501.0,31,2022-07-25 09:18:00
499.78,501.0,502.0,500.0,502.0,150,2022-07-25 09:19:00
499.89,502.0,503.0,501.0,503.0,219,2022-07-25 09:20:00
499.93,502.0,503.0,502.0,503.0,74,2022-07-25 09:21:00
499.95,503.0,503.0,502.0,502.0,33,2022-07-25 09:22:00
500.02,502.0,503.0,501.0,502.0,170,2022-07-25 09:23:00
500.03,501.0,501.0,501.0,501.0,46,2022-07-25 09:24:00
500.03,502.0,502.0,501.0,501.0,29,2022-07-25 09:25:00
500.06,501.0,502.0,501.0,501.0,107,2022-07-25 09:26:00
500.06,501.0,501.0,500.0,500.0,45,2022-07-25 09:27:00
500.06,500.0,500.0,500.0,500.0,37,2022-07-25 09:28:00
500.06,500.0,501.0,500.0,500.0,17,2022-07-25 09:29:00
500.06,500.0,501.0,500.0,500.0,18,2022-07-25 09:30:00
500.06,501.0,501.0,500.0,500.0,8,2022-07-25 09:31:00
500.07,501.0,501.0,500.0,500.0,17,2022-07-25 09:32:00
500.07,501.0,501.0,501.0,501.0,9,2022-07-25 09:33:00
500.07,501.0,501.0,500.0,501.0,26,2022-07-25 09:34:00
500.07,500.0,501.0,500.0,501.0,17,2022-07-25 09:35:00
500.07,501.0,501.0,500.0,501.0,9,2022-07-25 09:36:00
500.1,501.0,502.0,501.0,501.0,160,2022-07-25 09:37:00
