a,o,h,l,c,v,t
125.24,125.0,126.0,124.5,126.0,778,2022-07-25 09:01:00
125.18,125.5,126.0,124.0,125.0,555,2022-07-25 09:02:00
125.34,125.0,126.5,125.0,126.5,573,2022-07-25 09:03:00
125.5,126.5,127.0,126.0,126.5,429,2022-07-25 09:04:00
125.93,126.5,128.0,126.0,127.5,713,2022-07-25 09:05:00
126.35,128.0,129.0,127.5,128.5,667,2022-07-25 09:06:00
126.5,128.5,129.0,128.0,128.0,300,2022-07-25 09:07:00
126.58,128.0,128.5,127.5,127.5,234,2022-07-25 09:08:00
126.66,128.0,128.0,127.0,127.5,390,2022-07-25 09:09:00
126.76,127.5,128.5,127.5,128.0,413,2022-07-25 09:10:00
126.79,128.0,128.5,127.5,128.0,132,2022-07-25 09:11:00
126.81,127.5,128.0,126.5,126.5,379,2022-07-25 09:12:00
126.79,126.5,127.0,126.0,126.5,416,2022-07-25 09:13:00
126.79,127.0,127.5,126.0,126.0,316,2022-07-25 09:14:00
126.42,126.0,126.5,122.0,123.5,1093,2022-07-25 09:15:00
126.32,123.5,125.0,123.5,124.5,344,2022-07-25 09:16:00
126.28,124.5,125.0,124.0,124.5,172,2022-07-25 09:17:00
126.16,124.5,124.5,123.0,123.0,406,2022-07-25 09:18:00
126.09,123.0,124.5,123.0,124.0,250,2022-07-25 09:19:00
126.07,124.0,124.5,124.0,124.5,102,2022-07-25 09:20:00
126.06,124.5,124.5,124.0,124.0,40,2022-07-25 09:21:00
125.99,124.0,124.0,123.0,123.5,245,2022-07-25 09:22:00
125.97,123.0,123.5,123.0,123.5,64,2022-07-25 09:23:00
125.94,123.0,124.0,123.0,123.5,128,2022-07-25 09:24:00
125.92,123.5,124.5,123.5,124.0,83,2022-07-25 09:25:00
125.9,124.0,124.5,124.0,124.5,92,2022-07-25 09:26:00
125.89,124.5,125.0,124.0,124.0,56,2022-07-25 09:27:00
125.88,124.5,125.0,124.0,125.0,84,2022-07-25 09:28:00
125.87,125.0,125.0,124.5,124.5,81,2022-07-25 09:29:00
125.86,124.5,125.0,124.0,124.5,74,2022-07-25 09:30:00
125.85,124.5,125.0,124.0,124.5,45,2022-07-25 09:31:00
125.85,124.5,124.5,124.0,124.0,21,2022-07-25 09:32:00
125.81,124.0,124.0,123.0,123.5,198,2022-07-25 09:33:00
125.79,123.5,124.0,123.0,123.5,78,2022-07-25 09:34:00
125.78,123.5,123.5,123.5,123.5,24,2022-07-25 09:35:00
125.78,123.5,124.0,123.5,124.0,15,2022-07-25 09:36:00
125.78,124.0,124.0,123.5,123.5,9,2022-07-25 09:37:00
125.76,123.5,123.5,123.5,123.5,65,2022-07-25 09:38:00
125.76,123.5,124.0,123.5,124.0,19,2022-07-25 09:39:00
125.75,124.0,124.5,124.0,124.0,54,2022-07-25 09:40:00
125.75,124.0,124.5,124.0,124.5,28,2022-07-25 09:41:00
125.74,124.5,124.5,124.0,124.5,10,2022-07-25 09:42:00
125.74,124.5,124.5,124.5,124.5,47,2022-07-25 09:43:00
125.74,124.5,124.5,124.5,124.5,28,2022-07-25 09:44:00
125.73,124.5,125.0,124.5,125.0,23,2022-07-25 09:45:00
125.72,125.0,125.5,125.0,125.0,213,2022-07-25 09:46:00
125.71,125.0,125.0,125.0,125.0,101,2022-07-25 09:47:00
125.71,125.0,125.0,125.0,125.0,6,2022-07-25 09:48:00
125.71,124.5,124.5,124.5,124.5,8,2022-07-25 09:49:00
125.7,124.5,124.5,124.0,124.0,62,2022-07-25 09:50:00
125.7,124.0,124.5,124.0,124.5,42,2022-07-25 09:51:00
125.7,124.0,124.5,124.0,124.5,4,2022-07-25 09:52:00
125.7,124.0,124.0,124.0,124.0,7,2022-07-25 09:53:00
125.7,124.5,124.5,124.5,124.5,10,2022-07-25 09:54:00
125.69,124.5,124.5,124.5,124.5,7,2022-07-25 09:55:00
125.69,124.5,125.0,124.5,124.5,5,2022-07-25 09:56:00
125.69,125.0,125.0,124.5,125.0,5,2022-07-25 09:57:00
125.69,125.0,125.0,124.0,124.5,44,2022-07-25 09:58:00
125.69,124.5,125.0,124.5,124.5,14,2022-07-25 09:59:00
125.69,125.0,125.0,124.5,125.0,11,2022-07-25 10:00:00
125.69,124.5,125.0,124.5,125.0,5,2022-07-25 10:01:00
125.68,125.0,125.0,125.0,125.0,60,2022-07-25 10:02:00
125.68,125.0,125.0,125.0,125.0,3,2022-07-25 10:03:00
125.68,125.0,125.0,125.0,125.0,10,2022-07-25 10:04:00
125.68,125.0,125.0,125.0,125.0,64,2022-07-25 10:05:00
125.68,125.0,125.5,125.0,125.5,18,2022-07-25 10:06:00
125.67,125.5,125.5,125.5,125.5,166,2022-07-25 10:07:00
125.67,125.5,126.0,125.5,126.0,62,2022-07-25 10:08:00
125.68,126.0,126.5,126.0,126.0,300,2022-07-25 10:09:00
125.69,126.0,126.5,126.0,126.5,47,2022-07-25 10:10:00
125.69,126.5,126.5,126.0,126.0,25,2022-07-25 10:11:00
125.69,126.0,126.0,126.0,126.0,109,2022-07-25 10:12:00
125.69,126.0,126.0,125.5,126.0,61,2022-07-25 10:13:00
125.69,126.0,126.0,125.5,125.5,9,2022-07-25 10:14:00
125.69,125.5,126.0,125.5,125.5,4,2022-07-25 10:15:00
125.69,125.5,125.5,125.5,125.5,24,2022-07-25 10:16:00
125.69,125.5,126.0,125.5,126.0,53,2022-07-25 10:17:00
125.69,126.0,126.0,126.0,126.0,14,2022-07-25 10:18:00
125.69,126.0,126.0,126.0,126.0,19,2022-07-25 10:19:00
125.69,126.0,126.0,126.0,126.0,1,2022-07-25 10:20:00
125.69,126.0,126.0,126.0,126.0,13,2022-07-25 10:21:00
125.69,126.0,126.0,126.0,126.0,45,2022-07-25 10:22:00
125.71,126.0,126.5,126.0,126.5,220,2022-07-25 10:23:00
125.73,126.5,127.0,126.0,126.5,282,2022-07-25 10:24:00
125.73,126.5,126.5,126.0,126.0,21,2022-07-25 10:25:00
125.73,126.5,126.5,125.5,125.5,89,2022-07-25 10:26:00
125.73,125.5,126.0,125.5,126.0,9,2022-07-25 10:27:00
125.73,126.0,126.0,125.5,126.0,24,2022-07-25 10:28:00
125.73,126.0,126.0,126.0,126.0,21,2022-07-25 10:29:00
125.73,126.0,126.0,126.0,126.0,26,2022-07-25 10:30:00
125.73,126.0,126.0,125.5,125.5,9,2022-07-25 10:31:00
125.73,125.5,126.0,125.5,125.5,21,2022-07-25 10:32:00
125.73,125.5,125.5,125.0,125.5,87,2022-07-25 10:33:00
125.73,125.5,125.5,125.5,125.5,47,2022-07-25 10:34:00
125.73,125.5,125.5,125.0,125.0,17,2022-07-25 10:35:00
125.72,125.0,125.0,125.0,125.0,200,2022-07-25 10:36:00
125.72,125.0,125.0,124.5,125.0,27,2022-07-25 10:37:00
125.72,125.0,125.0,124.5,124.5,5,2022-07-25 10:38:00
125.72,124.5,124.5,124.5,124.5,5,2022-07-25 10:39:00
125.71,125.0,125.0,125.0,125.0,53,2022-07-25 10:40:00
125.71,125.5,125.5,125.5,125.5,22,2022-07-25 10:41:00
125.71,125.5,125.5,125.5,125.5,7,2022-07-25 10:42:00
125.71,125.5,125.5,125.5,125.5,1,2022-07-25 10:43:00
125.71,126.0,126.0,125.5,125.5,2,2022-07-25 10:44:00
125.71,126.0,126.0,125.5,125.5,26,2022-07-25 10:45:00
125.71,125.5,125.5,125.5,125.5,3,2022-07-25 10:46:00
125.71,125.0,125.5,125.0,125.0,6,2022-07-25 10:47:00
125.71,125.0,125.0,125.0,125.0,1,2022-07-25 10:48:00
125.71,125.0,125.0,125.0,125.0,11,2022-07-25 10:49:00
125.71,125.0,125.5,125.0,125.5,2,2022-07-25 10:50:00
125.71,125.0,125.0,124.5,125.0,38,2022-07-25 10:51:00
125.71,125.0,125.0,124.5,124.5,4,2022-07-25 10:52:00
125.71,124.5,124.5,124.5,124.5,2,2022-07-25 10:53:00
125.71,125.0,125.0,124.5,124.5,4,2022-07-25 10:54:00
125.71,124.5,125.0,124.5,124.5,14,2022-07-25 10:55:00
125.71,124.5,125.0,124.5,124.5,4,2022-07-25 10:56:00
125.71,125.0,125.0,125.0,125.0,1,2022-07-25 10:57:00
125.71,125.0,125.0,125.0,125.0,1,2022-07-25 10:58:00
125.71,125.0,125.0,125.0,125.0,2,2022-07-25 10:59:00
125.71,125.0,125.0,124.5,125.0,4,2022-07-25 11:00:00
125.71,125.0,125.0,125.0,125.0,1,2022-07-25 11:01:00
125.69,124.5,125.0,124.5,124.5,124,2022-07-25 11:02:00
125.69,124.5,124.5,124.5,124.5,4,2022-07-25 11:03:00
125.69,124.5,124.5,124.5,124.5,6,2022-07-25 11:04:00
125.69,124.5,124.5,124.0,124.0,5,2022-07-25 11:05:00
125.69,124.5,124.5,124.0,124.0,18,2022-07-25 11:06:00
