a,o,h,l,c,v,t
245.04,245.0,247.0,245.0,245.5,164,2022-07-25 09:01:00
245.07,245.5,245.5,245.0,245.0,19,2022-07-25 09:02:00
245.06,245.0,245.5,245.0,245.0,22,2022-07-25 09:03:00
245.28,245.0,247.0,245.0,247.0,60,2022-07-25 09:04:00
245.39,246.5,247.0,246.0,246.0,30,2022-07-25 09:05:00
245.42,246.0,246.5,245.5,246.0,23,2022-07-25 09:06:00
245.46,245.5,246.0,245.5,246.0,33,2022-07-25 09:07:00
245.47,245.5,246.5,245.0,245.0,46,2022-07-25 09:08:00
245.4,245.0,246.0,244.5,244.5,69,2022-07-25 09:09:00
245.35,244.5,245.5,244.5,245.5,37,2022-07-25 09:10:00
245.35,245.5,245.5,245.0,245.5,21,2022-07-25 09:11:00
245.42,246.0,246.5,245.5,246.5,44,2022-07-25 09:12:00
245.71,247.0,248.0,246.5,248.0,96,2022-07-25 09:13:00
245.92,248.0,248.5,248.0,248.0,64,2022-07-25 09:14:00
246.02,248.0,248.0,247.0,247.0,42,2022-07-25 09:15:00
246.02,247.0,247.0,247.0,247.0,1,2022-07-25 09:16:00
246.05,247.5,248.0,247.5,248.0,13,2022-07-25 09:17:00
246.05,247.5,248.0,247.5,248.0,3,2022-07-25 09:18:00
246.06,247.5,247.5,247.5,247.5,1,2022-07-25 09:19:00
246.07,247.5,247.5,247.5,247.5,6,2022-07-25 09:20:00
246.08,248.0,248.0,247.5,248.0,8,2022-07-25 09:21:00
246.13,248.0,248.0,247.5,247.5,21,2022-07-25 09:22:00
246.13,247.5,247.5,247.5,247.5,1,2022-07-25 09:23:00
246.14,247.5,248.0,247.5,248.0,3,2022-07-25 09:24:00
246.15,248.0,248.0,247.5,247.5,7,2022-07-25 09:25:00
246.2,247.5,247.5,247.0,247.0,37,2022-07-25 09:26:00
246.22,247.0,247.0,246.0,246.5,34,2022-07-25 09:27:00
246.22,246.5,246.5,246.0,246.5,9,2022-07-25 09:28:00
246.22,246.0,246.0,246.0,246.0,3,2022-07-25 09:29:00
246.22,246.5,246.5,246.5,246.5,1,2022-07-25 09:30:00
246.25,247.0,247.5,247.0,247.5,38,2022-07-25 09:32:00
246.25,247.5,247.5,247.5,247.5,1,2022-07-25 09:33:00
246.26,247.5,247.5,247.5,247.5,1,2022-07-25 09:34:00
246.27,247.5,248.0,247.5,247.5,9,2022-07-25 09:35:00
246.27,247.5,247.5,247.5,247.5,3,2022-07-25 09:36:00
246.65,248.0,249.0,248.0,249.0,204,2022-07-25 09:37:00
246.82,249.0,249.0,247.5,247.5,113,2022-07-25 09:38:00
246.82,247.5,248.0,247.5,247.5,4,2022-07-25 09:39:00
246.82,247.5,247.5,247.5,247.5,1,2022-07-25 09:40:00
246.82,247.5,247.5,247.5,247.5,1,2022-07-25 09:41:00
246.82,247.5,247.5,247.5,247.5,1,2022-07-25 09:42:00
246.85,248.0,248.5,248.0,248.0,33,2022-07-25 09:43:00
246.86,248.5,248.5,248.5,248.5,3,2022-07-25 09:44:00
246.86,248.5,248.5,248.5,248.5,1,2022-07-25 09:45:00
246.87,248.5,248.5,248.5,248.5,8,2022-07-25 09:46:00
246.87,248.5,248.5,248.5,248.5,5,2022-07-25 09:47:00
246.89,248.5,248.5,248.5,248.5,14,2022-07-25 09:48:00
246.9,248.5,248.5,248.0,248.0,6,2022-07-25 09:49:00
246.91,248.0,248.5,248.0,248.5,15,2022-07-25 09:50:00
246.93,248.5,248.5,248.5,248.5,16,2022-07-25 09:51:00
246.96,248.5,248.5,248.5,248.5,24,2022-07-25 09:52:00
246.96,248.5,249.0,248.5,249.0,2,2022-07-25 09:53:00
246.97,248.5,248.5,248.0,248.5,12,2022-07-25 09:54:00
246.99,248.5,248.5,248.5,248.5,18,2022-07-25 09:55:00
246.99,248.5,248.5,248.5,248.5,1,2022-07-25 09:56:00
247.0,248.5,248.5,248.5,248.5,4,2022-07-25 09:57:00
247.01,248.5,248.5,248.5,248.5,10,2022-07-25 09:58:00
247.06,248.5,248.5,247.5,247.5,88,2022-07-25 09:59:00
247.06,247.5,247.5,247.5,247.5,5,2022-07-25 10:00:00
247.07,247.5,247.5,247.0,247.5,27,2022-07-25 10:02:00
247.08,247.5,247.5,247.0,247.5,18,2022-07-25 10:03:00
247.08,247.5,247.5,247.5,247.5,8,2022-07-25 10:07:00
247.08,247.5,247.5,247.5,247.5,1,2022-07-25 10:08:00
247.08,247.5,247.5,247.5,247.5,1,2022-07-25 10:10:00
247.08,247.5,248.0,247.5,248.0,5,2022-07-25 10:12:00
247.11,248.0,248.0,248.0,248.0,49,2022-07-25 10:15:00
247.16,248.0,248.0,248.0,248.0,98,2022-07-25 10:16:00
247.16,247.5,248.0,247.5,248.0,2,2022-07-25 10:17:00
247.16,248.0,248.0,248.0,248.0,1,2022-07-25 10:18:00
