a,o,h,l,c,v,t
33.99,34.05,34.05,33.9,33.95,1253,2022-07-25 09:01:00
33.94,33.9,33.95,33.8,33.85,640,2022-07-25 09:02:00
33.92,33.85,33.85,33.8,33.85,458,2022-07-25 09:03:00
33.91,33.85,33.85,33.8,33.85,243,2022-07-25 09:04:00
33.9,33.85,33.9,33.8,33.85,293,2022-07-25 09:05:00
33.87,33.8,33.85,33.7,33.75,1077,2022-07-25 09:06:00
33.84,33.75,33.75,33.7,33.75,901,2022-07-25 09:07:00
33.84,33.75,33.8,33.75,33.8,60,2022-07-25 09:08:00
33.84,33.8,33.8,33.75,33.8,73,2022-07-25 09:09:00
33.84,33.8,33.8,33.75,33.75,62,2022-07-25 09:10:00
33.84,33.8,33.8,33.75,33.75,48,2022-07-25 09:11:00
33.84,33.75,33.8,33.75,33.8,132,2022-07-25 09:12:00
33.84,33.8,33.8,33.75,33.8,150,2022-07-25 09:13:00
33.83,33.75,33.85,33.75,33.8,866,2022-07-25 09:14:00
33.76,33.8,33.8,33.5,33.55,3312,2022-07-25 09:15:00
33.74,33.5,33.55,33.45,33.55,885,2022-07-25 09:16:00
33.73,33.55,33.65,33.5,33.6,580,2022-07-25 09:17:00
33.73,33.65,33.7,33.6,33.7,294,2022-07-25 09:18:00
33.71,33.65,33.65,33.5,33.6,911,2022-07-25 09:19:00
33.71,33.6,33.65,33.55,33.6,190,2022-07-25 09:20:00
33.68,33.65,33.65,33.35,33.4,2431,2022-07-25 09:21:00
33.67,33.4,33.55,33.4,33.5,617,2022-07-25 09:22:00
33.66,33.5,33.55,33.45,33.55,351,2022-07-25 09:23:00
33.66,33.5,33.55,33.5,33.5,83,2022-07-25 09:24:00
33.66,33.55,33.55,33.5,33.55,125,2022-07-25 09:25:00
33.66,33.55,33.55,33.5,33.55,51,2022-07-25 09:26:00
33.66,33.55,33.55,33.5,33.55,48,2022-07-25 09:27:00
33.66,33.5,33.55,33.5,33.5,481,2022-07-25 09:28:00
33.66,33.5,33.5,33.45,33.5,61,2022-07-25 09:29:00
33.65,33.5,33.5,33.45,33.5,285,2022-07-25 09:30:00
33.65,33.5,33.55,33.5,33.55,100,2022-07-25 09:31:00
33.65,33.5,33.65,33.5,33.6,444,2022-07-25 09:32:00
33.65,33.65,33.7,33.6,33.7,215,2022-07-25 09:33:00
33.65,33.7,33.7,33.65,33.65,167,2022-07-25 09:34:00
33.65,33.65,33.7,33.6,33.7,34,2022-07-25 09:35:00
33.65,33.7,33.7,33.65,33.65,21,2022-07-25 09:36:00
33.65,33.7,33.7,33.65,33.7,19,2022-07-25 09:37:00
33.65,33.7,33.7,33.65,33.7,134,2022-07-25 09:38:00
33.65,33.65,33.65,33.55,33.55,512,2022-07-25 09:39:00
33.65,33.55,33.6,33.55,33.6,24,2022-07-25 09:40:00
33.65,33.6,33.65,33.6,33.65,65,2022-07-25 09:41:00
33.65,33.6,33.65,33.6,33.65,36,2022-07-25 09:42:00
33.65,33.65,33.7,33.65,33.65,111,2022-07-25 09:43:00
33.65,33.65,33.7,33.65,33.7,26,2022-07-25 09:44:00
33.65,33.7,33.7,33.65,33.7,41,2022-07-25 09:45:00
33.66,33.7,33.85,33.7,33.85,1090,2022-07-25 09:46:00
33.66,33.8,33.9,33.8,33.9,328,2022-07-25 09:47:00
33.66,33.9,33.9,33.8,33.8,316,2022-07-25 09:48:00
33.67,33.8,34.0,33.8,33.95,898,2022-07-25 09:49:00
33.68,33.95,34.0,33.9,33.95,319,2022-07-25 09:50:00
33.68,33.95,33.95,33.95,33.95,236,2022-07-25 09:51:00
33.68,33.95,34.0,33.9,33.9,158,2022-07-25 09:52:00
33.69,33.95,33.95,33.85,33.9,414,2022-07-25 09:53:00
33.69,33.9,33.95,33.85,33.85,143,2022-07-25 09:54:00
33.69,33.85,33.9,33.85,33.85,21,2022-07-25 09:55:00
33.69,33.9,33.9,33.85,33.9,121,2022-07-25 09:56:00
33.69,33.9,33.9,33.85,33.85,98,2022-07-25 09:57:00
33.69,33.85,33.9,33.85,33.9,69,2022-07-25 09:58:00
33.69,33.85,33.85,33.85,33.85,36,2022-07-25 09:59:00
33.69,33.85,33.9,33.8,33.85,62,2022-07-25 10:00:00
33.69,33.85,33.85,33.8,33.8,11,2022-07-25 10:01:00
33.69,33.8,33.8,33.8,33.8,102,2022-07-25 10:02:00
33.69,33.75,33.8,33.75,33.8,14,2022-07-25 10:03:00
33.69,33.8,33.8,33.75,33.75,77,2022-07-25 10:04:00
33.69,33.75,33.75,33.7,33.7,122,2022-07-25 10:05:00
33.69,33.75,33.75,33.7,33.75,49,2022-07-25 10:06:00
33.69,33.7,33.75,33.65,33.7,169,2022-07-25 10:07:00
33.69,33.65,33.7,33.65,33.65,212,2022-07-25 10:08:00
33.69,33.7,33.75,33.7,33.7,157,2022-07-25 10:09:00
33.69,33.7,33.75,33.65,33.65,124,2022-07-25 10:10:00
33.69,33.75,33.75,33.65,33.7,66,2022-07-25 10:11:00
33.69,33.75,33.8,33.7,33.75,153,2022-07-25 10:12:00
33.69,33.75,33.8,33.7,33.7,102,2022-07-25 10:13:00
33.69,33.75,33.8,33.75,33.75,17,2022-07-25 10:14:00
33.69,33.75,33.75,33.75,33.75,19,2022-07-25 10:15:00
33.69,33.75,33.8,33.75,33.75,3,2022-07-25 10:16:00
33.69,33.75,33.8,33.75,33.8,26,2022-07-25 10:17:00
33.69,33.75,33.8,33.75,33.8,9,2022-07-25 10:18:00
33.69,33.8,33.8,33.8,33.8,29,2022-07-25 10:19:00
33.69,33.8,33.8,33.75,33.75,51,2022-07-25 10:20:00
33.69,33.8,33.8,33.8,33.8,2,2022-07-25 10:21:00
33.7,33.8,33.8,33.7,33.75,173,2022-07-25 10:22:00
33.7,33.75,33.75,33.75,33.75,2,2022-07-25 10:23:00
33.7,33.7,33.75,33.7,33.7,183,2022-07-25 10:24:00
33.7,33.75,33.75,33.7,33.7,36,2022-07-25 10:25:00
33.7,33.7,33.75,33.7,33.75,166,2022-07-25 10:26:00
33.7,33.8,33.8,33.75,33.75,9,2022-07-25 10:27:00
33.7,33.75,33.8,33.7,33.8,101,2022-07-25 10:28:00
33.7,33.8,33.8,33.75,33.75,24,2022-07-25 10:29:00
33.7,33.75,33.8,33.75,33.8,17,2022-07-25 10:30:00
