a,o,h,l,c,v,t
105.96,106.0,106.0,105.5,106.0,595,2022-07-25 09:01:00
105.93,105.5,106.0,105.5,105.5,90,2022-07-25 09:02:00
105.9,105.5,106.0,105.5,105.5,154,2022-07-25 09:03:00
105.87,106.0,106.0,105.5,106.0,121,2022-07-25 09:04:00
105.87,105.5,106.0,105.5,106.0,98,2022-07-25 09:05:00
105.87,105.5,106.0,105.5,106.0,78,2022-07-25 09:06:00
105.87,106.0,106.0,105.5,106.0,29,2022-07-25 09:07:00
105.87,106.0,106.0,105.5,105.5,30,2022-07-25 09:08:00
105.87,105.5,106.0,105.5,106.0,23,2022-07-25 09:09:00
105.86,106.0,106.0,105.5,106.0,118,2022-07-25 09:10:00
105.86,105.5,106.0,105.5,106.0,23,2022-07-25 09:11:00
105.86,106.0,106.0,105.5,106.0,19,2022-07-25 09:12:00
105.86,106.0,106.0,105.5,106.0,39,2022-07-25 09:13:00
105.86,106.0,106.0,105.5,106.0,20,2022-07-25 09:14:00
105.86,106.0,106.0,105.5,105.5,40,2022-07-25 09:15:00
105.85,105.5,106.0,105.5,105.5,85,2022-07-25 09:16:00
105.85,106.0,106.0,105.5,106.0,11,2022-07-25 09:17:00
105.85,106.0,106.0,105.5,106.0,34,2022-07-25 09:18:00
105.85,105.5,106.0,105.5,106.0,23,2022-07-25 09:19:00
105.85,105.5,106.0,105.5,106.0,24,2022-07-25 09:20:00
105.85,106.0,106.0,105.5,106.0,41,2022-07-25 09:21:00
105.85,106.0,106.0,105.5,106.0,12,2022-07-25 09:22:00
105.85,106.0,106.0,105.5,106.0,62,2022-07-25 09:23:00
105.85,106.0,106.0,105.5,105.5,24,2022-07-25 09:24:00
105.85,106.0,106.0,105.5,106.0,164,2022-07-25 09:25:00
105.85,106.0,106.0,105.5,106.0,28,2022-07-25 09:26:00
105.85,106.0,106.0,105.5,106.0,44,2022-07-25 09:27:00
105.85,105.5,106.0,105.5,106.0,22,2022-07-25 09:28:00
105.85,105.5,106.0,105.5,105.5,29,2022-07-25 09:29:00
105.85,106.0,106.0,106.0,106.0,13,2022-07-25 09:30:00
105.85,106.0,106.0,105.5,106.0,93,2022-07-25 09:31:00
105.85,105.5,106.0,105.5,106.0,20,2022-07-25 09:32:00
105.85,106.0,106.0,105.5,106.0,35,2022-07-25 09:33:00
105.85,106.0,106.0,105.5,106.0,22,2022-07-25 09:34:00
