a,o,h,l,c,v,t
105.88,106.0,106.0,105.5,106.0,303,2022-07-25 09:01:00
105.72,106.0,106.0,105.0,105.0,208,2022-07-25 09:02:00
105.45,105.0,105.5,104.5,105.0,379,2022-07-25 09:03:00
105.45,105.0,105.5,105.0,105.5,102,2022-07-25 09:04:00
105.46,105.5,105.5,105.5,105.5,72,2022-07-25 09:05:00
105.45,105.5,105.5,105.0,105.0,85,2022-07-25 09:06:00
105.37,105.0,105.0,105.0,105.0,250,2022-07-25 09:07:00
105.35,104.5,105.0,104.5,105.0,97,2022-07-25 09:08:00
105.33,105.0,105.0,104.5,105.0,66,2022-07-25 09:09:00
105.32,105.0,105.0,105.0,105.0,43,2022-07-25 09:10:00
105.31,105.0,105.5,105.0,105.0,37,2022-07-25 09:11:00
105.31,105.0,105.5,105.0,105.0,46,2022-07-25 09:12:00
105.3,105.0,105.5,105.0,105.0,35,2022-07-25 09:13:00
105.3,105.5,105.5,105.5,105.5,36,2022-07-25 09:14:00
105.28,105.5,105.5,104.5,105.0,170,2022-07-25 09:15:00
105.27,105.0,105.0,104.5,104.5,15,2022-07-25 09:16:00
105.25,104.5,105.0,104.5,105.0,173,2022-07-25 09:17:00
105.25,105.0,105.5,105.0,105.5,15,2022-07-25 09:18:00
105.23,105.0,105.5,105.0,105.0,223,2022-07-25 09:19:00
105.22,105.0,105.5,105.0,105.5,59,2022-07-25 09:20:00
105.21,105.5,105.5,104.5,104.5,79,2022-07-25 09:21:00
105.2,104.5,105.0,104.5,105.0,45,2022-07-25 09:22:00
105.2,105.0,105.0,104.5,105.0,8,2022-07-25 09:23:00
105.01,104.5,104.5,104.0,104.5,747,2022-07-25 09:24:00
104.96,104.0,104.0,104.0,104.0,188,2022-07-25 09:25:00
104.95,104.0,104.5,104.0,104.0,52,2022-07-25 09:26:00
104.94,104.0,104.5,104.0,104.0,40,2022-07-25 09:27:00
104.92,104.0,104.5,104.0,104.0,81,2022-07-25 09:28:00
104.82,104.0,104.0,103.5,104.0,326,2022-07-25 09:29:00
104.75,103.5,104.5,103.5,104.0,384,2022-07-25 09:30:00
104.74,104.0,104.5,104.0,104.5,109,2022-07-25 09:31:00
104.73,104.5,104.5,104.0,104.5,130,2022-07-25 09:32:00
104.73,104.5,104.5,104.5,104.5,60,2022-07-25 09:33:00
104.73,104.5,105.0,104.0,104.0,32,2022-07-25 09:34:00
104.73,104.0,104.5,104.0,104.0,26,2022-07-25 09:35:00
104.72,104.5,104.5,104.0,104.0,11,2022-07-25 09:36:00
104.72,104.5,104.5,104.0,104.5,58,2022-07-25 09:37:00
104.72,104.5,104.5,104.5,104.5,6,2022-07-25 09:38:00
104.72,104.5,105.0,104.5,104.5,31,2022-07-25 09:39:00
104.72,105.0,105.0,104.5,104.5,13,2022-07-25 09:40:00
104.72,104.5,105.0,104.0,104.0,60,2022-07-25 09:41:00
104.72,104.0,104.5,104.0,104.5,13,2022-07-25 09:42:00
104.72,104.5,104.5,104.5,104.5,20,2022-07-25 09:43:00
104.72,104.5,104.5,104.5,104.5,12,2022-07-25 09:44:00
104.72,104.5,104.5,104.5,104.5,28,2022-07-25 09:45:00
104.71,104.5,105.0,104.5,104.5,13,2022-07-25 09:46:00
104.71,104.5,105.0,104.5,105.0,14,2022-07-25 09:47:00
104.71,105.0,105.0,104.5,104.5,13,2022-07-25 09:48:00
104.71,105.0,105.0,104.5,104.5,4,2022-07-25 09:49:00
104.71,104.5,104.5,104.5,104.5,4,2022-07-25 09:50:00
104.71,104.5,105.0,104.5,105.0,5,2022-07-25 09:51:00
104.71,104.5,105.0,104.5,104.5,110,2022-07-25 09:52:00
104.71,104.5,104.5,104.0,104.0,26,2022-07-25 09:53:00
104.71,104.5,104.5,104.5,104.5,11,2022-07-25 09:54:00
104.71,104.5,104.5,104.5,104.5,1,2022-07-25 09:55:00
104.71,104.5,104.5,104.5,104.5,28,2022-07-25 09:56:00
104.71,104.5,104.5,104.5,104.5,6,2022-07-25 09:57:00
104.7,104.5,104.5,104.0,104.5,49,2022-07-25 09:58:00
104.7,104.5,104.5,104.5,104.5,22,2022-07-25 09:59:00
104.7,104.5,104.5,104.0,104.5,7,2022-07-25 10:00:00
104.7,104.5,104.5,104.0,104.0,2,2022-07-25 10:01:00
104.69,104.5,104.5,104.0,104.5,75,2022-07-25 10:02:00
104.69,104.0,104.0,104.0,104.0,1,2022-07-25 10:03:00
