a,o,h,l,c,v,t
692.14,690,690,689,690,45,2022-07-25 11:11:00
692.14,690,690,690,690,1,2022-07-25 11:12:00
692.14,690,690,690,690,1,2022-07-25 11:13:00
692.13,690,690,690,690,8,2022-07-25 11:14:00
692.13,690,690,690,690,6,2022-07-25 11:16:00
692.12,690,690,690,690,13,2022-07-25 11:17:00
692.12,690,690,690,690,1,2022-07-25 11:18:00
692.12,690,690,690,690,1,2022-07-25 11:19:00
692.12,691,691,691,691,3,2022-07-25 11:20:00
692.11,691,691,691,691,13,2022-07-25 11:21:00
692.11,690,690,690,690,2,2022-07-25 11:22:00
692.11,690,691,690,690,3,2022-07-25 11:23:00
692.11,691,691,691,691,1,2022-07-25 11:25:00
692.11,691,691,691,691,1,2022-07-25 11:26:00
692.11,691,691,690,690,3,2022-07-25 11:27:00
692.11,691,691,691,691,6,2022-07-25 11:28:00
692.11,691,691,690,690,2,2022-07-25 11:29:00
692.11,690,690,690,690,2,2022-07-25 11:31:00
692.1,690,691,690,690,12,2022-07-25 11:32:00
692.09,690,691,690,691,10,2022-07-25 11:33:00
692.09,690,691,690,690,14,2022-07-25 11:35:00
692.08,690,691,690,690,7,2022-07-25 11:37:00
692.08,690,690,690,690,2,2022-07-25 11:38:00
692.07,691,691,690,691,18,2022-07-25 11:39:00
692.06,691,691,691,691,36,2022-07-25 11:40:00
692.06,691,691,691,691,23,2022-07-25 11:41:00
692.04,691,692,691,691,46,2022-07-25 11:42:00
692.04,690,691,690,690,10,2022-07-25 11:43:00
692.03,691,691,690,691,14,2022-07-25 11:44:00
692.03,691,691,691,691,1,2022-07-25 11:45:00
692.03,691,691,691,691,1,2022-07-25 11:48:00
692.03,691,691,691,691,4,2022-07-25 11:49:00
692.03,690,690,690,690,3,2022-07-25 11:50:00
692.03,691,691,690,690,9,2022-07-25 11:51:00
692.03,690,690,690,690,1,2022-07-25 11:53:00
692.03,690,690,690,690,1,2022-07-25 11:54:00
692.03,690,690,690,690,1,2022-07-25 11:55:00
691.98,690,690,689,689,93,2022-07-25 11:56:00
691.97,690,690,690,690,1,2022-07-25 11:57:00
691.97,690,690,689,690,7,2022-07-25 11:58:00
691.94,690,690,690,690,60,2022-07-25 11:59:00
691.94,690,690,690,690,1,2022-07-25 12:00:00
691.94,690,690,690,690,2,2022-07-25 12:01:00
691.92,691,692,691,692,80,2022-07-25 12:02:00
691.92,692,692,691,692,19,2022-07-25 12:03:00
691.92,692,693,692,693,5,2022-07-25 12:04:00
691.93,693,693,693,693,13,2022-07-25 12:05:00
691.93,693,693,693,693,1,2022-07-25 12:06:00
691.93,692,692,692,692,35,2022-07-25 12:07:00
691.93,692,692,692,692,5,2022-07-25 12:08:00
691.92,691,692,691,692,31,2022-07-25 12:09:00
691.92,691,692,691,692,6,2022-07-25 12:10:00
691.92,692,692,692,692,2,2022-07-25 12:11:00
691.92,692,692,692,692,1,2022-07-25 12:12:00
691.92,692,692,691,691,2,2022-07-25 12:13:00
691.92,691,691,691,691,10,2022-07-25 12:14:00
691.92,691,691,691,691,16,2022-07-25 12:17:00
691.92,691,691,691,691,1,2022-07-25 12:18:00
691.91,691,691,691,691,4,2022-07-25 12:19:00
691.91,691,691,691,691,2,2022-07-25 12:20:00
691.91,692,692,692,692,2,2022-07-25 12:21:00
691.91,692,692,692,692,10,2022-07-25 12:22:00
691.91,691,692,691,692,18,2022-07-25 12:24:00
691.91,691,691,691,691,13,2022-07-25 12:26:00
691.91,691,692,691,691,5,2022-07-25 12:28:00
691.9,691,691,691,691,11,2022-07-25 12:29:00
691.9,691,691,690,690,10,2022-07-25 12:30:00
691.9,691,691,691,691,1,2022-07-25 12:31:00
691.9,690,691,690,691,15,2022-07-25 12:32:00
691.9,691,691,690,690,4,2022-07-25 12:33:00
691.89,691,691,691,691,49,2022-07-25 12:34:00
691.89,691,692,691,692,21,2022-07-25 12:35:00
691.89,692,692,692,692,2,2022-07-25 12:37:00
691.89,692,692,692,692,26,2022-07-25 12:39:00
691.89,692,692,692,692,13,2022-07-25 12:40:00
691.89,692,692,691,692,24,2022-07-25 12:41:00
691.89,692,692,691,691,2,2022-07-25 12:43:00
691.89,691,691,691,691,1,2022-07-25 12:44:00
691.89,692,692,692,692,1,2022-07-25 12:45:00
691.89,692,692,691,692,12,2022-07-25 12:46:00
691.89,691,691,691,691,1,2022-07-25 12:47:00
691.89,691,691,691,691,1,2022-07-25 12:48:00
691.89,691,691,691,691,1,2022-07-25 12:49:00
691.89,692,692,691,691,2,2022-07-25 12:52:00
691.89,692,692,692,692,2,2022-07-25 12:53:00
691.89,691,692,691,691,7,2022-07-25 12:54:00
691.88,691,692,691,691,43,2022-07-25 12:55:00
691.88,691,691,691,691,3,2022-07-25 12:56:00
691.88,691,691,691,691,10,2022-07-25 12:57:00
691.88,691,692,691,691,4,2022-07-25 12:58:00
691.88,691,691,691,691,9,2022-07-25 12:59:00
691.86,691,691,690,690,48,2022-07-25 13:00:00
691.86,690,690,690,690,9,2022-07-25 13:01:00
691.8,690,690,688,688,125,2022-07-25 13:02:00
691.8,689,689,688,688,3,2022-07-25 13:03:00
691.78,688,689,688,688,24,2022-07-25 13:04:00
691.77,688,689,688,689,13,2022-07-25 13:05:00
691.69,688,692,688,691,163,2022-07-25 13:06:00
691.69,691,692,691,692,13,2022-07-25 13:07:00
691.7,692,692,691,692,13,2022-07-25 13:08:00
691.7,692,692,692,692,12,2022-07-25 13:09:00
691.7,692,692,691,692,9,2022-07-25 13:10:00
691.7,692,692,691,692,10,2022-07-25 13:11:00
691.69,691,692,690,690,62,2022-07-25 13:12:00
691.68,690,690,689,689,15,2022-07-25 13:13:00
691.67,690,690,689,689,14,2022-07-25 13:14:00
691.67,689,690,689,689,23,2022-07-25 13:15:00
691.66,689,690,689,690,13,2022-07-25 13:16:00
691.66,689,690,689,690,10,2022-07-25 13:17:00
691.65,689,690,689,690,12,2022-07-25 13:18:00
691.65,690,690,690,690,9,2022-07-25 13:19:00
691.64,689,690,689,690,20,2022-07-25 13:20:00
691.63,690,692,690,692,56,2022-07-25 13:21:00
691.63,692,692,691,692,21,2022-07-25 13:22:00
691.62,691,692,691,691,26,2022-07-25 13:23:00
691.62,691,691,689,689,18,2022-07-25 13:24:00
691.6,689,690,689,690,38,2022-07-25 13:25:00
691.23,688,688,688,688,607,2022-07-25 13:30:00
