a,o,h,l,c,v,t
88.73,88.8,88.8,88.5,88.6,1481,2022-07-25 09:01:00
88.58,88.6,88.6,88.1,88.3,943,2022-07-25 09:02:00
88.51,88.3,88.4,88.1,88.2,614,2022-07-25 09:03:00
88.45,88.2,88.3,88.0,88.1,598,2022-07-25 09:04:00
88.38,88.1,88.1,87.9,88.0,716,2022-07-25 09:05:00
88.33,88.1,88.1,87.8,87.9,449,2022-07-25 09:06:00
88.22,87.9,87.9,87.5,87.5,981,2022-07-25 09:07:00
88.17,87.5,87.8,87.3,87.7,430,2022-07-25 09:08:00
88.12,87.7,87.7,87.4,87.6,451,2022-07-25 09:09:00
88.11,87.5,87.7,87.5,87.7,198,2022-07-25 09:10:00
88.1,87.7,88.0,87.6,87.9,156,2022-07-25 09:11:00
88.09,87.9,88.0,87.7,87.9,245,2022-07-25 09:12:00
88.09,87.9,88.0,87.8,87.9,112,2022-07-25 09:13:00
88.09,87.9,88.0,87.9,88.0,84,2022-07-25 09:14:00
87.99,88.0,88.0,87.2,87.4,1527,2022-07-25 09:15:00
87.97,87.4,87.4,87.3,87.4,252,2022-07-25 09:16:00
87.97,87.4,87.6,87.4,87.6,142,2022-07-25 09:17:00
87.96,87.6,87.9,87.5,87.9,205,2022-07-25 09:18:00
87.88,87.8,87.9,87.0,87.5,1246,2022-07-25 09:19:00
87.88,87.5,87.7,87.4,87.6,203,2022-07-25 09:20:00
87.74,87.7,87.7,86.8,87.0,2318,2022-07-25 09:21:00
87.73,87.0,87.2,87.0,87.1,273,2022-07-25 09:22:00
87.71,87.1,87.3,87.1,87.1,347,2022-07-25 09:23:00
87.62,87.2,87.2,86.5,86.6,1695,2022-07-25 09:24:00
87.59,86.5,86.8,86.5,86.8,421,2022-07-25 09:25:00
87.58,86.8,86.9,86.7,86.9,222,2022-07-25 09:26:00
87.55,86.8,87.0,86.6,86.7,512,2022-07-25 09:27:00
87.47,86.7,86.9,86.2,86.2,1493,2022-07-25 09:28:00
87.44,86.3,86.4,86.2,86.3,404,2022-07-25 09:29:00
87.42,86.3,86.6,86.2,86.5,428,2022-07-25 09:30:00
87.41,86.5,86.9,86.5,86.8,245,2022-07-25 09:31:00
87.4,86.8,86.9,86.6,86.9,336,2022-07-25 09:32:00
87.4,86.8,86.9,86.8,86.9,78,2022-07-25 09:33:00
87.38,86.8,86.9,86.6,86.8,413,2022-07-25 09:34:00
87.38,86.7,86.8,86.6,86.7,90,2022-07-25 09:35:00
87.38,86.7,86.9,86.7,86.9,110,2022-07-25 09:36:00
87.37,86.9,87.0,86.8,87.0,176,2022-07-25 09:37:00
87.36,87.0,87.1,86.6,86.9,588,2022-07-25 09:38:00
87.36,86.7,86.9,86.6,86.8,79,2022-07-25 09:39:00
87.35,86.8,87.0,86.8,86.9,62,2022-07-25 09:40:00
87.35,87.0,87.2,86.9,87.1,160,2022-07-25 09:41:00
87.35,87.1,87.1,86.9,86.9,289,2022-07-25 09:42:00
87.35,87.0,87.0,86.9,87.0,40,2022-07-25 09:43:00
87.35,87.0,87.2,87.0,87.2,133,2022-07-25 09:44:00
87.35,87.2,87.3,87.2,87.3,128,2022-07-25 09:45:00
87.34,87.3,87.4,87.2,87.3,187,2022-07-25 09:46:00
87.34,87.3,87.3,87.3,87.3,43,2022-07-25 09:47:00
87.34,87.3,87.3,87.1,87.2,122,2022-07-25 09:48:00
87.34,87.2,87.3,87.1,87.3,58,2022-07-25 09:49:00
87.34,87.2,87.3,87.2,87.3,31,2022-07-25 09:50:00
87.34,87.3,87.3,87.2,87.2,35,2022-07-25 09:51:00
87.34,87.3,87.3,87.1,87.1,83,2022-07-25 09:52:00
87.34,87.1,87.1,87.0,87.1,95,2022-07-25 09:53:00
87.34,87.1,87.1,87.0,87.0,24,2022-07-25 09:54:00
87.34,87.0,87.2,87.0,87.1,30,2022-07-25 09:55:00
87.34,87.1,87.2,87.1,87.2,74,2022-07-25 09:56:00
87.34,87.2,87.3,87.2,87.3,66,2022-07-25 09:57:00
87.34,87.3,87.4,87.3,87.4,97,2022-07-25 09:58:00
87.34,87.3,87.4,87.3,87.3,61,2022-07-25 09:59:00
87.34,87.2,87.3,87.2,87.2,67,2022-07-25 10:00:00
87.34,87.2,87.2,87.1,87.1,9,2022-07-25 10:01:00
87.34,87.2,87.2,87.2,87.2,8,2022-07-25 10:02:00
